name,ra,dec,PU,significance,flux_significance_b_max,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,_r_gaia,PU_gaia,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,_r_2mass,PU_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,_r_catwise,PU_catwise,RA_ICRS_catwise,DE_ICRS_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,_r_unwise,PU_unwise,RAJ2000_unwise,DEJ2000_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,_r_allwise,PU_allwise,RAJ2000_allwise,DEJ2000_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,gaia_precomputed,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
2CXO J110507.4-585105,166.28112499999995,-58.85152777777778,0.77,2.81,2.81,7.978845608028655e-18,6.028102749890869e-18,2.876e-16,1.5139999999999998e-16,6.638797884560804e-16,3.941500014382878e-16,9.594586340641089e-16,4.2227067345076843e-16,,,,Gaia DR3 5338654966094701568,0.1865467718038357,0.0010959511850442,166.2810968565,-58.85157750949,18.837492,0.003726,20.11316,0.046662,17.804195,0.019734,0.2685,0.1788,5.439,3878.60498046875,2474.406982421875,5493.78369140625,3563.11572265625,2805.4921875,4774.828125,0,11050747-5851056,0.118,0.2600021444964637,166.281144,-58.851559,16.065000534057617,0.096000000834465,15.208000183105469,0.1220000013709068,15.031000137329102,0.1270000040531158,0,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
2CXO J110507.1-585120,166.27991666666665,-58.85567222222223,0.77,4.19,4.19,5.653605197602122e-16,2.0537597338933766e-16,2.736e-16,1.209e-16,2.1613177753657576e-16,2.082543939172629e-16,1.055092297296788e-15,3.164901152192031e-16,0.109,,,Gaia DR3 5338654931734962944,0.2831677280621937,0.0038066673613542,166.27978858224,-58.85571463305,19.119108,0.003837,20.43159,0.137405,17.858261,0.022237,1.7749,0.2253,12.687,591.2431640625,518.2571411132812,696.0774536132812,611.814208984375,545.8418579101562,694.249267578125,0,11050715-5851206,0.3,0.3400210901111871,166.279832,-58.855743,16.243999481201172,0.135000005364418,15.52400016784668,0.1369999945163726,15.02299976348877,0.1599999964237213,0,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
2CXO J110510.3-585029,166.29333333333332,-58.84151944444445,0.72,8.18,8.18,4.0372021154391966e-15,6.475000875522936e-16,8.128253852703656e-16,1.9964089449002944e-16,1.023356174010271e-15,3.845931044784371e-16,5.8733836747198346e-15,7.791179025958579e-16,0.262,,,Gaia DR3 5338655348361782400,0.1445538242321536,0.0040272873153029,166.29328728345,-58.84148712376,15.494361,0.003392,16.153315,0.012298,14.689833,0.007002,2.0133,0.029,12.216,486.6793823242188,480.670166015625,494.74603271484375,490.3911437988281,482.5842895507813,497.4570617675781,0,11051040-5850295,0.075,0.1400579054232927,166.293362,-58.841534,13.680999755859377,0.0320000015199184,13.045000076293944,0.0260000005364418,12.95699977874756,0.0320000015199184,0,J110510.37-585029.3,0.299,0.0681191373371683,166.2931916,-58.8414806,12.933,0.02,12.994,0.015,0,1670m591o0034701,0.072,0.0551472290469793,166.2933718,-58.8415178,12.9243502586617,-0.0027644390222335,12.90916771587819,-0.0064475214429293,0,,0.419,0.1066760370071929,,,,,,,,,,,0,True,0.0,allwise,,,,
2CXO J110505.5-585038,166.2733333333333,-58.84398055555556,0.76,3.88,3.88,1.7749940221727256e-16,9.891165228986522e-17,4.4042021154391964e-16,1.4955000379071302e-16,3.280680846175678e-16,2.430200003732375e-16,9.459876983787601e-16,3.020056939428822e-16,0.998,,,Gaia DR3 5338654966092030208,0.3256368823172643,0.0007828086611682,166.27346016068,-58.84404281716,17.561495,0.002982,18.206629,0.012382,16.786747,0.010016,0.2765,0.0787,9.309,3507.2470703125,2718.914794921875,4367.169921875,3253.42236328125,2717.643310546875,4079.76416015625,0,11050563-5850382,0.291,0.2800010621046999,166.273486,-58.843964,15.932000160217283,0.0860000029206276,15.24899959564209,0.1059999987483024,15.121999740600586,0.1580000072717666,0,J110505.74-585038.2,1.104,0.08240360902145,166.2739177,-58.8439285,15.079,0.013,15.295,0.033,-4,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,-4.0,catwise,15.079,0.013,15.295,0.033
2CXO J110502.0-585111,166.25849999999997,-58.853319444444445,0.89,2.21,2.21,2.5230000000000003e-16,1.41e-16,1.2797606346317592e-16,9.751500052321284e-17,7.978845608028655e-18,6.028102749890869e-18,3.8825490907120464e-16,1.7154157906993118e-16,,,,Gaia DR3 5338655004764202368,0.0395661859546629,0.0044860413729701,166.25847924731,-58.85331708305,19.560701,0.004286,21.019365,0.113866,18.359255,0.023168,2.215,0.2724,11.926,487.8892211914063,430.7946472167969,557.5990600585938,557.38232421875,484.255859375,655.2474365234375,0,,,,,,,,,,,,-8,J110502.05-585112.3,0.373,0.2332427098690117,166.2585162,-58.8534226,16.594,0.053,17.234,0.195,0,1670m591o0152265,0.841,0.3190312237180555,166.258536,-58.8530865,15.22877580200433,-0.0131117617084528,15.114482324591618,-0.0339989173995948,0,,,,,,,,,,,,,,-8,True,0.0,catwise,16.594,0.053,17.234,0.195
2CXO J110503.0-585133,166.26295833333333,-58.85943888888889,0.75,4.59,4.59,5.797429218793619e-17,4.3800194580707055e-17,3.524e-16,1.557e-16,4.8723607733789816e-15,1.2522615079107097e-15,5.282735065566919e-15,1.262663783926708e-15,0.934,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
2CXO J110517.7-585044,166.32399999999998,-58.84568333333333,0.74,5.37,5.37,8.591808461756789e-16,2.607000347925493e-16,6.553202115439197e-16,1.945500029139097e-16,1.2216539436995268e-15,4.788269917131009e-16,2.7361550014191253e-15,5.788691559995719e-16,1.0,,,Gaia DR3 5338655142203407360,0.1387853379382968,0.0069685047406168,166.32403154928,-58.84571825917,19.920216,0.005841,21.229872,0.130264,18.590172,0.023394,2.1269,0.4686,11.831,652.5711669921875,483.3389892578125,953.3760375976562,1105.7432861328125,732.0143432617188,5462.02001953125,0,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
2CXO J110507.7-585206,166.28233333333333,-58.868566666666666,0.72,10.82,10.82,2.971e-16,1.371e-16,1.78e-15,3.19e-16,1.7589999999999994e-14,1.8900000000000003e-15,1.9667099999999998e-14,1.9216288429350764e-15,0.827,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
2CXO J110509.4-584947,166.28954166666665,-58.82990277777778,0.87,2.0,1.95,2.0409627500709564e-16,1.1406500839927137e-16,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,2.2005396622315287e-16,1.143831376849417e-16,,,,Gaia DR3 5338655348393301376,0.1536445435313457,0.0013311129328498,166.28952849011,-58.82986064716,14.083296,0.002768,14.361473,0.002923,13.635087,0.003812,0.6652,0.0166,5.805,1427.9312744140625,1400.329345703125,1455.1182861328125,1434.9613037109375,1392.54248046875,1471.1182861328125,0,11050949-5849475,0.153,0.1400063250942614,166.289579,-58.829865,13.111000061035156,0.0379999987781047,12.909000396728516,0.0410000011324882,12.819000244140623,0.0340000018477439,0,J110509.51-584946.6,1.057,0.0446198505869304,166.2896391,-58.8296135,12.559,0.011,12.651,0.009,-4,1670m591o0035056,0.452,0.0440201211538541,166.2895152,-58.8297779,12.673283272194404,-0.0023329234987738,12.66885373045712,-0.0054393279298184,0,,0.848,0.1088081387875006,,,,,,,,,,,0,True,0.0,allwise,,,,
2CXO J110514.1-585204,166.30891666666665,-58.86799444444444,0.79,3.53,3.53,3.977e-16,1.7989999999999995e-16,2.4677978845608027e-16,1.370500041364548e-16,2.6375624293319913e-16,2.4446045755234797e-16,9.082360313892794e-16,3.330279702074671e-16,0.459,,,Gaia DR3 5338654729917949696,0.1153545018401623,0.0015357029660712,166.30885823665,-58.86800512927,18.266657,0.006255,18.187296,0.045099,16.60793,0.022183,0.4549,0.1517,8.336,2862.44873046875,2014.7789306640625,4851.39501953125,2272.129638671875,1838.90673828125,2902.46435546875,2,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
