_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.402],1.0,0.402,J110355.54-584753.8,165.9814467,-58.798304,0.0385,0.0363,140.1,Im,9.643,0.023,9.682,0.02,9.75,0.25,8.773,,10.019,0.026,9.849,0.029,9.832,0.027,3484.015,2730.511,1.6700591013510367e+18,47.3,5.46,53.1,3.15,4.4,0.199,-0.2,0.706,2.81,1.0,0.0,0.0,0.0,0.0,0.0,0000,1.0,220n,61.0,61.0,61.0,61.0,37.0,38.0,0.0,39.0,0.0,165.9814468,0.0372,-58.798304,0.0377,-0.0089,6,24,27,24,5.46,3.15,0.199,0.706,2.81,1N000,AABU,7.0,0.0,61.582,60.959,40.353,41.462,826796338,0.558,2M
"[0.388, 7.437]",2.0,0.388,J110414.85-585305.4,166.061883,-58.8848447,0.0424,0.0384,166.3,Im,11.032,0.024,11.092,0.022,10.264,0.293,8.488,0.529,11.48,0.023,11.179,0.026,11.092,0.021,3371.622,2505.621,1.670059101351037e+18,45.8,3.23,49.6,1.39,3.7,0.656,2.1,1.09,1.74,2.0,1.0,0.0,0.0,0.0,0.0,0d00,1.0,nnnn,58.0,58.0,58.0,58.0,14.0,38.0,0.0,38.0,0.0,166.0618833,0.0404,-58.8848442,0.039,-0.0107,0,26,28,26,4.03,1.52,0.721,1.12,2.04,3N000,AABC,15.0,0.0,60.095,60.595,40.702,40.917,826795408,0.097,2M
[0.388],3.0,0.388,J110415.07-584545.8,166.0627983,-58.7627299,0.0582,0.0575,155.8,Im,12.726,0.031,12.843,0.031,12.123,,9.393,,13.639,0.026,12.993,0.023,12.823,0.019,3375.05,2825.321,1.6700591013510377e+18,34.6,13.6,35.6,5.21,-3.8,1.11,-2.1,1.05,6.15,1.0,0.0,0.0,0.0,0.0,0.0,0h00,1.0,42nn,61.0,61.0,61.0,61.0,0.0,38.0,0.0,38.0,0.0,166.0627995,0.0588,-58.7627287,0.0599,-0.0022,46,37,130,38,13.6,5.22,1.11,1.05,6.14,1N000,AAUU,3.0,0.0,60.824,61.619,39.194,39.324,826796740,0.533,2M
[0.651],4.0,0.651,J110418.60-584728.2,166.0775033,-58.7911928,0.0544,0.0537,21.4,Im,12.555,0.028,12.715,0.031,12.936,,9.367,,13.296,0.029,12.79,0.035,12.645,0.03,3354.016,2751.098,1.6700591013510374e+18,38.2,1.3,35.0,1.27,-15.8,1.34,-6.9,1.15,1.27,1.0,0.0,0.0,0.0,0.0,0.002,0000,0.0,00nn,63.0,63.0,63.0,63.0,0.0,26.0,0.0,38.0,0.0,166.0775033,0.0551,-58.7911931,0.0559,0.0041,-10,34,54,34,1.29,1.27,1.34,1.15,1.27,1N000,AAUU,3.0,0.0,63.945,63.752,39.784,39.434,826796409,0.122,2M
"[1.744, 4.222]",5.0,1.744,J110420.33-585012.0,166.0847487,-58.8366745,0.1679,0.1001,23.2,Im,13.697,0.07,13.968,0.082,11.92,,8.9,,15.165,0.088,14.439,0.109,14.187,0.099,3342.49,2632.173,1.6700591013510374e+18,15.5,2.7,13.2,1.48,-5.8,0.664,-3.2,0.952,1.58,2.0,1.0,0.0,0.0,0.0,0.0,hh00,0.0,nnnn,65.0,65.0,64.0,65.0,0.0,35.0,0.0,42.0,0.0,,,,,,,,,,,,,,,,AAUU,3.0,0.0,65.602,66.146,42.879,42.775,826795897,1.925,2M
[],6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2.824, 9.614]",7.0,2.824,J110423.83-584932.9,166.099317,-58.8258148,0.0764,0.0736,106.5,Im,13.983,0.033,14.527,0.056,9.339,0.088,7.096,0.098,15.598,0.075,15.161,0.104,15.222,0.179,3323.154,2660.883,1.6700591013510382e+18,32.6,3.6,19.2,0.987,12.4,2.29,11.0,1.75,2.19,3.0,0.0,0.0,0.0,0.0,0.0,0h00,1.0,1000,67.0,67.0,56.0,67.0,42.0,42.0,23.0,42.0,0.0,166.0992821,0.0757,-58.8258317,0.074,-0.0437,-328,58,-297,59,3.59,0.989,2.28,1.74,2.18,2N000,AAAA,15.0,0.0,67.724,67.616,42.881,42.725,826796025,1.502,2M
[0.715],8.0,0.715,J110424.39-584835.9,166.1016541,-58.8099901,0.0385,0.037,138.8,Im,11.363,0.023,11.445,0.022,8.852,0.033,6.748,0.079,12.188,0.037,11.893,0.041,11.802,0.039,3320.567,2702.355,1.670059101351037e+18,47.1,17.5,49.4,5.62,33.1,6.37,13.7,1.69,8.7,1.0,0.0,0.0,0.0,0.0,0.001,0h00,1.0,3200,65.0,65.0,65.0,65.0,40.0,40.0,39.0,40.0,0.0,166.1016565,0.0381,-58.8099888,0.0383,0.0046,47,26,29,26,17.5,5.62,6.37,1.69,8.7,2N000,AAAA,15.0,0.0,64.319,65.646,40.381,40.924,826796193,0.664,2M
[9.761],9.0,9.761,J110425.77-585051.7,166.1074088,-58.8477061,0.0564,0.056,98.4,Im,12.998,0.029,13.064,0.033,12.623,,9.497,,14.718,0.06,13.844,0.055,13.393,0.058,3311.39,2603.727,1.670059101351038e+18,37.6,3.47,33.1,1.16,-12.5,1.1,-9.2,1.1,1.83,1.0,0.0,0.0,0.0,0.0,0.0,0h00,1.0,22nn,65.0,65.0,65.0,65.0,0.0,31.0,0.0,42.0,0.0,166.1074093,0.0562,-58.8477055,0.0558,-0.0023,-4,38,83,39,3.47,1.16,1.1,1.1,1.83,1N000,AAUU,3.0,0.0,66.004,66.122,43.865,43.737,826795777,0.63,2M
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
