_rs_gaia,_q,_r_gaia,EDR3Name_gaia,RA_ICRS_gaia,e_RA_ICRS_gaia,DE_ICRS_gaia,e_DE_ICRS_gaia,Source_gaia,SolID_gaia,RandomI_gaia,Epoch_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,E_BP_RP__gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RVDR2_gaia,e_RVDR2_gaia,o_RVDR2_gaia,Tefftemp_gaia,loggtemp_gaia,__Fe_H_temp_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,PS1_gaia,SDSSDR13_gaia,SkyMapper2_gaia,URAT1_gaia,GmagCorr_gaia,e_GmagCorr_gaia,FGCorr_gaia,E_BP_RP_Corr_gaia,RAJ2000_gaia,e_RAJ2000_gaia,DEJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia,_r_gaiadist,RA_ICRS_gaiadist,DE_ICRS_gaiadist,rgeo_gaiadist,b_rgeo_gaiadist,B_rgeo_gaiadist,rpgeo_gaiadist,b_rpgeo_gaiadist,B_rpgeo_gaiadist,Flag_gaiadist
"[0.40207787430291986, 4.213698385591125, 5.348811537867024, 6.8978340549379045, 7.299070503505545, 7.779068697878192, 8.03261610694714, 8.839889809490776, 9.205397142978232, 9.959767998636126]",1.0,0.40207787430291986,Gaia EDR3 5338702386868676736,165.98167816905,0.0153,-58.79825842811,0.0125,5338702386868676736,1.6360425158051103e+18,1058541338.0,2016.0,2.0945,0.0164,127.3631,11.586,-10.209,0.019,5.479,0.016,0.1243,-0.1342,-0.2242,0.1234,0.1178,0.1615,0.016,0.0559,-0.0025,0.2619,408.0,408.0,408.0,0.0,4.5169,1283.4,0.141,22.3,31.0,0.0,1.629,,,,,,,,46.0,26.0,0.0282239,53.0,21.0,3.0,0.0056,110.0,0.0,0.0,1.162,,,,,,,,,0.0,419.0,1010200.0,146.96,6874.146,10.676302,0.00276,48.0,617530.0,220.1,2805.71,10.861904,0.002817,46.0,572280.0,115.37,4960.356,10.353867,0.003786,0,0,0,0,0,1.178,0.508038,0.185602,0.322435,,,0.0,,,,289.3839758958,1.2164125222,204.1255698735,-56.5829070365,,,424012784,,10.676302,0.00276,1010200.0,-0.002,165.98176574947,0.3133,-58.79828277883,0.2488,0.2448,0.402,165.98167816905,-58.79825842811,474.775238,471.371704,478.051758,475.500854,470.971802,479.17337,10033.0
"[0.495479297147752, 6.864314388912716, 8.593524247779856, 8.830794925981845, 9.012599131296078, 9.374112113550138, 9.821017446471597]",2.0,0.495479297147752,Gaia EDR3 5338700836339224192,166.06186772586,0.0148,-58.88480431982,0.0133,5338700836339224192,1.6360425158051103e+18,1798098296.0,2016.0,2.0028,0.017,117.5681,12.835,-11.598,0.02,5.496,0.017,0.1727,-0.1448,-0.1269,0.0476,0.1234,0.078,-0.1741,0.1223,0.0887,0.2776,347.0,347.0,346.0,1.0,7.6143,903.84,0.13,17.4,31.0,0.0,1.571,,,,,,,,40.0,24.0,0.0293044,46.0,18.0,0.0,0.0252,128.0,0.0,0.0,1.304,,,,,,,,,0.0,383.0,192970.0,53.772,3588.657,12.473644,0.002772,39.0,106270.0,89.593,1186.132,12.772521,0.002936,41.0,124500.0,87.877,1416.686,12.010019,0.003856,0,0,0,1,0,1.196,0.762502,0.298877,0.463625,,,0.0,,,,289.4567654664,1.1538377214,204.2895444778,-56.6155196308,,,424023824,,12.473644,0.002772,192970.0,-0.001,166.06196747949,0.3201,-58.88482874528,0.2714,0.2675,0.495,166.06186772586,-58.88480431982,493.065674,489.456329,496.682129,493.788361,490.434998,497.792358,10033.0
"[0.1357676277519675, 5.4198912227541, 6.251678017605258, 8.239655082007026, 8.370934679825936, 9.83118392206716]",3.0,0.1357676277519675,Gaia EDR3 5338703314581802624,166.06302941746,0.0336,-58.76266907345,0.0297,5338703314581802624,1.6360425158051103e+18,480884712.0,2016.0,2.2489,0.0384,58.6273,9.695,-8.527,0.043,4.612,0.038,0.1164,-0.2251,-0.1733,0.0772,0.0011,0.0795,-0.0539,0.1114,-0.0231,0.159,401.0,0.0,400.0,1.0,11.5782,841.37,0.293,13.0,31.0,0.0,1.398,,,,,,,,46.0,27.0,0.062046,51.0,20.0,0.0,0.00212,31.6,1.0,0.0,1.438,0.141,0.143,0.0356,0.167,-176.27,-28.552,-1.549,29.791,0.0,413.0,10355.0,11.271,918.712,15.649481,0.002998,44.0,3674.0,17.998,204.133,16.425692,0.006006,40.0,9752.5,32.676,298.46,14.775111,0.005246,0,19,0,1,0,1.297,1.65058,0.776211,0.87437,,,0.0,,,,289.408289665,1.2659471554,204.1349521532,-56.5279723104,,,424011381,,15.649481,0.002998,10355.0,0.008,166.06310250023,0.6976,-58.76268957041,0.6166,0.1497,0.136,166.06302941746,-58.76266907345,436.54422,429.148376,444.339935,439.22345,430.262512,445.788055,10033.0
"[0.5205238725871257, 0.6648181687122278, 2.651463507291903, 2.9735943029099845, 3.9815459882964066, 4.330061466988727, 4.579580764883846, 5.032218988763526, 7.027073393494894, 7.267281084582134, 8.267530223032075, 8.72993849800578, 9.03159660422406]",4.0,0.5205238725871257,Gaia EDR3 5338703005340961280,166.07758518015,10.7819,-58.79150101008,5.0669,5338703005340961280,1.6360425158051103e+18,1210101319.0,2016.0,,,,,,,,,0.9601,,,,,,,,,,58.0,0.0,57.0,1.0,0.9936,62.05,1.977,0.644,3.0,0.0,,,,,,,,,7.0,4.0,153.475,7.0,4.0,6.0,0.226,79.9,0.0,0.0,,0.355,0.649,0.214,0.581,11.356,-25.42,12.27,-41.802,0.0,54.0,129.79,2.1,61.808,20.404222,0.017781,0.0,,,,,,0.0,,,,,,,,,,2,,,,,,,0.0,,,,289.4267734028,1.2425649699,204.1813309112,-56.5432751493,,,,,20.404222,0.017781,129.79,,166.07758518015,10.7819,-58.79150101008,5.0669,0.9601,,,,,,,,,,
"[0.19922236622896258, 2.916256020291502, 3.623239239677707, 4.109048501636427, 4.883202207101517, 6.0614788178121595, 9.52655255205868, 9.595394004844756]",5.0,0.19922236622896258,Gaia EDR3 5338701390433208192,166.08472510329,0.0409,-58.83617497638,0.0417,5338701390433208192,1.6360425158051103e+18,1572019946.0,2016.0,0.6663,0.0478,13.9328,8.598,-8.49,0.055,1.359,0.056,0.0765,-0.0215,-0.2414,0.0516,0.208,0.041,-0.3908,0.0094,-0.0031,0.1407,350.0,0.0,350.0,0.0,2.4615,431.53,0.134,1.01,31.0,0.0,1.473,,,,,,,,41.0,24.0,0.0829807,50.0,21.0,0.0,0.00693,59.3,2.0,0.0,1.094,0.0255,0.158,0.051,0.122,-72.024,-38.387,37.242,32.82,0.0,387.0,4314.6,6.7351,640.612,16.600018,0.003235,39.0,2120.7,27.97,75.823,17.022322,0.014589,37.0,3797.1,21.062,180.28,15.799264,0.00711,0,34,0,32,0,1.372,1.223058,0.422304,0.800754,,,0.0,,,,289.4480822992,1.2031242513,204.2429117453,-56.5725621009,,,,,16.600018,0.003235,4314.6,0.133,166.08479802105,0.8947,-58.83618101615,0.9092,0.1324,0.199,166.08472510329,-58.83617497638,1481.01904,1397.74902,1594.13,1474.25562,1376.06714,1556.94092,10033.0
"[1.5391792389695362, 5.7858026816977155, 7.606642610475898, 9.651621770912145]",6.0,1.5391792389695362,Gaia EDR3 5338653802174966528,166.0971167108,2.1953,-58.91245737381,2.2987,5338653802174966528,1.6360425158051103e+18,1739384663.0,2016.0,,,,,,,,,-0.6186,,,,,,,,,,59.0,0.0,59.0,0.0,1.1624,66.24,0.18,0.00227,3.0,0.0,,,,,,,,,7.0,7.0,8.19298,9.0,2.0,1.0,0.0994,105.0,0.0,0.0,,0.273,0.217,0.663,0.284,29.03,51.347,25.817,12.258,0.0,73.0,76.238,1.4361,53.085,20.981937,0.020637,3.0,54.508,20.079,2.715,20.997387,0.399968,6.0,64.887,4.2507,15.265,20.217497,0.071226,0,0,0,0,1,1.566,0.77989,0.01545,0.764441,,,0.0,,,,289.4845413704,1.135809144,204.348390151,-56.6224437799,,,,,20.981937,0.020637,76.238,0.368,166.0971167108,2.1953,-58.91245737381,2.2987,-0.6186,,,,,,,,,,
"[0.4418268016862531, 2.614287875178047, 4.090626129965494, 5.258006188729209, 9.136343951948618, 9.526535130506637]",7.0,0.4418268016862531,Gaia EDR3 5338701424793032960,166.09867485483,0.2329,-58.82638735316,0.2288,5338701424793032960,1.6360425158051103e+18,1628922747.0,2016.0,1.1833,0.2867,4.128,13.332,-12.857,0.32,3.527,0.271,0.1858,0.0658,-0.0522,-0.0614,0.2717,-0.0111,-0.1499,0.1866,-0.0021,0.1893,371.0,0.0,370.0,1.0,0.1923,445.99,0.806,1.12,95.0,0.0,,1.0356,0.0693,-0.051,-0.012,-0.069,-0.175,0.004,43.0,25.0,0.459551,50.0,20.0,1.0,0.0132,83.1,0.0,0.0,1.006,0.052,0.226,0.0816,0.131,-145.728,-33.826,45.272,42.073,0.0,368.0,269.0,0.98942,271.871,19.613007,0.004852,12.0,36.219,6.9556,5.207,21.44119,0.208525,9.0,340.71,12.888,26.436,18.416943,0.041244,0,0,0,0,0,1.401,3.024248,1.828184,1.196064,,,0.0,,,,289.4507730517,1.2149853905,204.2398104201,-56.5605203491,,,,,19.587416,0.004776,275.41,-0.083,166.09878524938,5.1316,-58.82640302776,4.3779,0.1907,0.442,166.09867485483,-58.82638735316,1223.66333,882.820496,2284.05176,5390.40186,4459.68213,6722.88232,10033.0
"[0.19698527303124103, 2.1176920361453964, 2.721185013732811, 3.4773623629434636, 4.7285608892804305, 5.352898102712946, 6.079553128251692, 6.660747811798447, 7.621426615167656, 7.751950097070507, 8.389794486631976, 9.432949937239814]",8.0,0.19698527303124103,Gaia EDR3 5338702902264853248,166.10159085831,0.0107,-58.80978040456,0.0112,5338702902264853248,1.6360425158051103e+18,1046806385.0,2016.0,2.0653,0.0131,157.2842,11.19,-9.958,0.014,5.104,0.014,0.1769,-0.114,-0.2567,-0.0376,0.2549,-0.0235,-0.3083,0.0884,0.0001,0.3814,374.0,0.0,373.0,1.0,0.8106,398.05,0.01,0.0792,31.0,0.0,1.547,,,,,,,,44.0,26.0,0.0231008,51.0,21.0,0.0,0.00738,99.6,0.0,0.0,1.029,0.0314,0.187,0.0499,0.187,138.888,-44.854,32.667,35.683,0.0,376.0,91210.0,46.21,1973.836,13.287255,0.00281,43.0,48184.0,68.229,706.206,13.631284,0.003186,42.0,61714.0,80.897,762.866,12.77194,0.004038,0,30,0,29,0,1.205,0.859344,0.344028,0.515315,,,0.0,,,,289.44549894,1.230805207,204.2206553766,-56.5476124595,,,424012162,,13.287255,0.00281,91210.0,0.0,166.10167631522,0.2298,-58.80980309081,0.227,0.3736,0.197,166.10159085831,-58.80978040456,476.438232,472.826813,479.759735,476.287811,473.662628,478.789398,10033.0
"[0.3555259555195816, 5.5931867305745, 5.675853337284188, 6.821410896067108, 8.91638052102094, 9.644829625793841]",9.0,0.3555259555195816,Gaia EDR3 5338654347619391232,166.1041834208,0.19,-58.84991346431,0.1778,5338654347619391232,1.6360425158051103e+18,497869224.0,2016.0,2.7432,0.2225,12.3279,23.168,-23.064,0.263,2.19,0.219,0.1378,0.0182,-0.0639,0.0403,0.1697,0.062,-0.1782,0.1519,0.1528,0.1976,372.0,0.0,371.0,1.0,-0.7807,398.9,0.0,0.0,95.0,0.0,,1.1484,0.0557,-0.022,-0.003,-0.068,-0.207,-0.082,43.0,26.0,0.377742,48.0,20.0,0.0,0.00864,148.0,0.0,0.0,0.97,0.0829,0.189,0.0625,0.128,-123.65,-27.485,55.696,35.716,0.0,394.0,333.99,0.81513,409.734,19.378048,0.003823,31.0,38.029,4.6016,8.264,21.38827,0.131408,38.0,449.51,7.3499,61.159,18.116045,0.018151,0,1,0,0,0,1.46,3.272224,2.010222,1.262003,,,0.0,,,,289.4628160723,1.1945738072,204.273427899,-56.5753040364,,,424012492,,19.352457,0.00378,341.95,-0.061,166.10438158845,4.2268,-58.8499231958,3.5348,0.1902,0.356,166.1041834208,-58.84991346431,371.121399,340.209991,403.680176,358.767975,332.613281,384.712097,10033.0
"[5.802674325357789, 7.299590613899041, 7.6940806741376075, 8.063087120664894, 8.338182450494351, 8.858739108179702, 8.973136950651535, 9.024721773322256]",10.0,5.802674325357789,Gaia EDR3 5338653836533737472,166.1180403711,0.425,-58.8985526278,0.3928,5338653836533737472,1.6360425158051103e+18,1541221232.0,2016.0,-0.1461,0.4867,-0.3002,7.636,-7.37,0.599,2.0,0.496,0.079,0.0037,-0.0796,0.0646,0.3192,0.0425,-0.2158,0.0184,-0.0039,0.2631,315.0,0.0,313.0,2.0,-0.3722,317.52,0.0,2.29e-15,95.0,0.0,,1.3654,0.1168,-0.04,0.021,-0.061,-0.108,-0.01,36.0,23.0,0.873312,42.0,16.0,0.0,0.0199,80.1,0.0,0.0,0.984,0.0444,0.219,0.101,0.13,-63.097,-15.015,28.186,40.328,0.0,341.0,139.39,0.7112,195.99,20.32681,0.006187,16.0,44.597,8.4215,5.296,21.215267,0.205042,18.0,149.98,11.996,12.503,19.307808,0.08692,0,2,0,1,0,1.396,1.907459,0.888456,1.019003,,,0.0,,,,289.4888714162,1.1528787303,204.3446495993,-56.6049544754,,,,,20.319571,0.006154,140.32,0.074,166.11810378022,9.6278,-58.89856151767,8.0348,0.2541,5.803,166.1180403711,-58.8985526278,4613.08594,2850.21484,7080.82617,4066.98975,3094.09448,6399.71533,10033.0
