_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
[2.611],1.0,2.611,1670m591o0100747,166.2797232,-58.8515128,1297.868,1297.853,1538.473,1538.551,1671.1,1584.3,0.011,0.033,0.011,0.034,10.976,29.379,1.0,1.0,135.7,13.61,0.5527,0.4712,1764.6,1691.4,11.196,30.114,2.6345,2.854,0.00960839,0.00663537,0.000257562,0.000725,-59.326,-35.887,166.2797232,166.2796088,-58.8515128,-58.851524,1670m591,1670m591w1o0107868,1670m591w2o0092786,204.0,193.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.072, 5.17]",3.0,0.072,1670m591o0034701,166.2933718,-58.8415178,1311.056,1311.039,1529.378,1529.328,6740.0,6660.9,0.004,0.01,0.004,0.01,17.161,39.555,1.0,1.0,72.46,10.8,0.7324,0.7228,6880.0,6721.0,17.488,40.517,2.6334,2.8527,-0.00195444,-0.000902772,0.000117494,0.000255,-58.806,-38.463,166.2933718,166.2934447,-58.8415178,-58.8415316,1670m591,1670m591w1o0035374,1670m591w2o0030548,200.0,195.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.386, 9.377]",4.0,1.386,1670m591o0135460,166.2740635,-58.8439069,1307.781,1307.954,1542.42,1542.298,894.17,910.65,0.019,0.056,0.018,0.054,9.9156,27.586,1.0,1.0,38.97,7.151,0.45,0.4153,953.97,935.37,10.138,28.312,2.6349,2.8524,-0.00107938,0.00265652,0.000417721,0.00116,-57.89,-33.123,166.2740635,166.2742465,-58.8439069,-58.8437754,1670m591,1670m591w1o0153177,1670m591w2o0132642,200.0,192.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.841, 6.923, 9.383]",5.0,0.841,1670m591o0152265,166.258536,-58.8530865,1295.643,1295.688,1552.796,1552.584,807.03,873.79,0.021,0.058,0.019,0.056,9.746,27.362,1.0,1.0,26.61,2.455,0.4861,0.4906,847.24,895.43,9.9734,28.108,2.633,2.8553,0.00272065,0.00113982,0.000461499,0.00119,-51.458,-28.037,166.258536,166.2588492,-58.8530865,-58.8530538,1670m591,1670m591w1o0185341,1670m591w2o0152635,197.0,195.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[5.685, 6.398, 7.128, 9.637]",6.0,5.685,1670m591o0209047,166.2608338,-58.8583046,0.0,1288.83,0.0,1551.16,0.0,720.54,0.0,0.07,0.0,0.067,0.0,26.787,0.0,1.0,0.0,5.785,0.0,0.4725,0.0,735.23,0.0,27.52,0.0,2.8518,0.0,0.00946712,0.0,0.001458,0.0,-30.179,0.0,166.2608338,0.0,-58.8583046,1670m591,,1670m591w2o0132365,0.0,192.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"[2.798, 2.85, 5.901]",7.0,2.798,1670m591o0189137,166.3225309,-58.8455204,1306.032,0.0,1509.571,0.0,457.82,0.0,0.037,0.0,0.035,0.0,9.4639,0.0,1.0,0.0,24.23,0.0,0.2719,0.0,486.39,0.0,9.7057,0.0,2.6339,0.0,-0.00185239,0.0,0.000750963,0.0,-59.017,0.0,166.3225309,0.0,-58.8455204,0.0,1670m591,1670m591w1o0185371,,201.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
[2.777],8.0,2.777,1670m591o0100175,166.2822195,-58.8693357,1274.556,1274.642,1536.518,1536.36,1943.1,1906.6,0.01,0.028,0.009,0.027,12.095,30.472,0.99984,0.99958,15.77,5.764,0.5402,0.5284,1957.8,1868.5,12.385,31.39,2.6367,2.8553,-0.00254595,-0.00327474,0.000256987,0.000639,-59.962,-45.614,166.2822195,166.2824544,-58.8693357,-58.8692716,1670m591,1670m591w1o0107201,1670m591w2o0053465,193.0,194.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[0.452, 6.303, 8.422]",9.0,0.452,1670m591o0035056,166.2895152,-58.8297779,1326.395,1326.403,1532.163,1532.126,8493.5,8311.1,0.003,0.008,0.003,0.008,18.25,41.637,1.0,1.0,25.38,3.4,0.8457,0.8303,8526.2,8326.2,18.553,42.54,2.6324,2.8533,-0.000326574,-0.000494123,0.00010117,0.000217,-55.649,-32.676,166.2895152,166.28957,-58.8297779,-58.8297726,1670m591,1670m591w1o0035736,1670m591w2o0030858,195.0,189.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[2.866, 4.304]",10.0,2.866,1670m591o0033839,166.310224,-58.8675739,1277.073,1277.094,1517.591,1517.59,26575.0,24793.0,0.002,0.004,0.002,0.004,31.754,66.212,0.98037,0.98205,104.0,17.5,0.7297,0.6764,26586.0,24647.0,32.222,67.464,2.6337,2.8534,-0.000423968,-0.000245094,5.93462e-05,0.000123,-63.167,-46.549,166.310224,166.3102253,-58.8675739,-58.867558,1670m591,1670m591w1o0034499,1670m591w2o0092281,204.0,195.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
