name,ra,dec,source_id,solution_id,source_id_2,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,classprob_dsc_combmod_whitedwarf,classprob_dsc_combmod_binarystar,classprob_dsc_specmod_quasar,classprob_dsc_specmod_galaxy,classprob_dsc_specmod_star,classprob_dsc_specmod_whitedwarf,classprob_dsc_specmod_binarystar,classprob_dsc_allosmod_quasar,classprob_dsc_allosmod_galaxy,classprob_dsc_allosmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,abp_gspphot,abp_gspphot_lower,abp_gspphot_upper,arp_gspphot,arp_gspphot_lower,arp_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,logposterior_gspphot,mcmcaccept_gspphot,libname_gspphot,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,mh_gspspec,mh_gspspec_lower,mh_gspspec_upper,alphafe_gspspec,alphafe_gspspec_lower,alphafe_gspspec_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,fem_gspspec_nlines,fem_gspspec_linescatter,sife_gspspec,sife_gspspec_lower,sife_gspspec_upper,sife_gspspec_nlines,sife_gspspec_linescatter,cafe_gspspec,cafe_gspspec_lower,cafe_gspspec_upper,cafe_gspspec_nlines,cafe_gspspec_linescatter,tife_gspspec,tife_gspspec_lower,tife_gspspec_upper,tife_gspspec_nlines,tife_gspspec_linescatter,mgfe_gspspec,mgfe_gspspec_lower,mgfe_gspspec_upper,mgfe_gspspec_nlines,mgfe_gspspec_linescatter,ndfe_gspspec,ndfe_gspspec_lower,ndfe_gspspec_upper,ndfe_gspspec_nlines,ndfe_gspspec_linescatter,feiim_gspspec,feiim_gspspec_lower,feiim_gspspec_upper,feiim_gspspec_nlines,feiim_gspspec_linescatter,sfe_gspspec,sfe_gspspec_lower,sfe_gspspec_upper,sfe_gspspec_nlines,sfe_gspspec_linescatter,zrfe_gspspec,zrfe_gspspec_lower,zrfe_gspspec_upper,zrfe_gspspec_nlines,zrfe_gspspec_linescatter,nfe_gspspec,nfe_gspspec_lower,nfe_gspspec_upper,nfe_gspspec_nlines,nfe_gspspec_linescatter,crfe_gspspec,crfe_gspspec_lower,crfe_gspspec_upper,crfe_gspspec_nlines,crfe_gspspec_linescatter,cefe_gspspec,cefe_gspspec_lower,cefe_gspspec_upper,cefe_gspspec_nlines,cefe_gspspec_linescatter,nife_gspspec,nife_gspspec_lower,nife_gspspec_upper,nife_gspspec_nlines,nife_gspspec_linescatter,cn0ew_gspspec,cn0ew_gspspec_uncertainty,cn0_gspspec_centralline,cn0_gspspec_width,dib_gspspec_lambda,dib_gspspec_lambda_uncertainty,dibew_gspspec,dibew_gspspec_uncertainty,dibewnoise_gspspec_uncertainty,dibp0_gspspec,dibp2_gspspec,dibp2_gspspec_uncertainty,dibqf_gspspec,flags_gspspec,logchisq_gspspec,ew_espels_halpha,ew_espels_halpha_uncertainty,ew_espels_halpha_flag,ew_espels_halpha_model,classlabel_espels,classlabel_espels_flag,classprob_espels_wcstar,classprob_espels_wnstar,classprob_espels_bestar,classprob_espels_ttauristar,classprob_espels_herbigstar,classprob_espels_dmestar,classprob_espels_pne,azero_esphs,azero_esphs_uncertainty,ag_esphs,ag_esphs_uncertainty,ebpminrp_esphs,ebpminrp_esphs_uncertainty,teff_esphs,teff_esphs_uncertainty,logg_esphs,logg_esphs_uncertainty,vsini_esphs,vsini_esphs_uncertainty,flags_esphs,spectraltype_esphs,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,teff_espucd,teff_espucd_uncertainty,flags_espucd,radius_flame,radius_flame_lower,radius_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,mass_flame,mass_flame_lower,mass_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame,evolstage_flame,gravredshift_flame,gravredshift_flame_lower,gravredshift_flame_upper,bc_flame,mh_msc,mh_msc_upper,mh_msc_lower,azero_msc,azero_msc_upper,azero_msc_lower,distance_msc,distance_msc_upper,distance_msc_lower,teff_msc1,teff_msc1_upper,teff_msc1_lower,teff_msc2,teff_msc2_upper,teff_msc2_lower,logg_msc1,logg_msc1_upper,logg_msc1_lower,logg_msc2,logg_msc2_upper,logg_msc2_lower,ag_msc,ag_msc_upper,ag_msc_lower,logposterior_msc,mcmcaccept_msc,mcmcdrift_msc,flags_msc,neuron_oa_id,neuron_oa_dist,neuron_oa_dist_percentile_rank,flags_oa,source_id_3,rgeo_gaiadist,b_rgeo_gaiadist,B_rgeo_gaiadist,rpgeo_gaiadist,b_rpgeo_gaiadist,B_rpgeo_gaiadist,flag,ph_qual,tmass_oid,_2MASS_2mass,RAJ2000_2mass,DEJ2000_2mass,err_maj,err_min,err_ang,Jmag_2mass,e_Jmag_2mass,Hmag_2mass,e_Hmag_2mass,Kmag_2mass,e_Kmag_2mass,ext_key,j_date,allwise_oid,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,ra_error,dec_error,radec_co_error,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,cc_flags,ext_flag,var_flag,ph_qual_2,w1mjd_mean,w2mjd_mean,w3mjd_mean,w4mjd_mean,w1gmag,w1gmag_error,w2gmag,w2gmag_error,w3gmag,w3gmag_error,w4gmag,w4gmag_error,tmass_key
2CXO J110507.4-585105,166.28112499999995,-58.85152777777778,5338654966094701568,1636148068921376768,5338654966094701568,1.4768633e-13,5.1375923e-13,0.9999991,2.0027539e-12,9.131138e-07,0.0,0.0,0.99990875,0.0,9.129572e-05,4.474575e-09,8.077701e-11,1.0,3695.5203,3674.0798,3760.428,4.4269,4.4004,4.4734,-1.2844,-1.676,-1.1815,704.7554,656.4268,742.8525,1.3278,1.2567,1.4834,0.9124,0.8629,1.0228,1.2514,1.1844,1.4001,0.7536,0.7126,0.8432,0.4978,0.4717,0.5565,8.734,8.6047,8.875,0.4753,0.4411,0.5004,-409.329,0.42420062,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338654966094701568,3878.605,2474.407,5493.7837,3563.1157,2805.4922,4774.828,10033,BBC,52107451,11050747-5851056,166.281144,-58.851559,0.13,0.12,166,16.065,0.096,15.208,0.122,15.031,0.127,,2451578.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110507.1-585120,166.27991666666665,-58.85567222222223,5338654931734962944,1636148068921376768,5338654931734963200,2.0902465e-13,5.270514e-13,0.99994063,2.0143381e-12,5.934252e-05,0.0,0.0,0.9941002,0.0,0.0058997488,1.036846e-08,2.821177e-10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338654931734963200,591.24316,518.25714,696.07745,611.8142,545.84186,694.24927,10033,BBC,52086271,11050715-5851206,166.279832,-58.855743,0.17,0.16,142,16.244,0.135,15.524,0.137,15.023,0.16,,2451578.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110510.3-585029,166.29333333333332,-58.84151944444445,5338655348361782400,1636148068921376768,5338655348361782272,1.1602949e-13,4.1984367e-11,0.99861324,2.2775145e-12,0.0013867696,0.0,0.0,0.87806064,0.0,0.121939324,9.524967e-17,7.144162e-07,0.9999993,4480.753,4463.5913,4502.7705,4.4795,4.4597,4.4924,-0.8594,-0.9077,-0.8166,505.5554,493.8883,523.7714,0.5023,0.4794,0.5321,0.3821,0.3643,0.405,0.4997,0.4766,0.5295,0.2944,0.2809,0.312,0.2054,0.1956,0.2176,6.5773,6.5026,6.6368,0.7698,0.7525,0.7967,-660.7468,0.46742946,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07089298,0.053500775,1,-0.013685,,,,,,,,,,,,,,,,,,,,,,92,K,,,,,,,0.7413173,0.72041774,0.7628232,0.20021912,0.19226244,0.20863411,,,,,,,20,322,0.54248,0.53682834,0.54894954,-0.18229349,-0.5083083,0.48421365,-1.0,0.19545908,1.583045,0.0,543.2013,585.12573,490.12207,4511.615,4573.4414,4384.081,3861.2065,4676.011,3180.9722,4.8325768,5.102848,4.4140425,4.998954,5.2,4.0978794,0.14829199,1.1939164,0.0,427.32938,0.17231503,0.030997317,0,202105281205440480,1.6801238e-05,68,0023,5338655348361782272,486.67938,480.67017,494.74603,490.39114,482.5843,497.45706,10033,AAA,52157612,11051040-5850295,166.293362,-58.841534,0.07,0.06,0,13.681,0.032,13.045,0.026,12.957,0.032,,2451578.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110505.5-585038,166.2733333333333,-58.84398055555556,5338654966092030208,1636148068921376768,5338654966092029952,1.0233312e-13,7.1787014e-11,0.9999951,2.0035434e-12,4.8834e-06,0.0,1.1848207e-06,0.9995107,0.0,0.00048810727,2.5603762e-11,1.7843692e-09,1.0,5072.047,5013.9673,5120.2983,4.7717,4.7511,4.7893,-1.5452,-1.6543,-1.4638,1020.1569,983.1671,1050.2079,1.0038,0.9533,1.0453,0.7878,0.7463,0.8214,1.022,0.9692,1.0656,0.5912,0.5611,0.6158,0.431,0.4081,0.4497,6.7291,6.6423,6.8523,0.5219,0.5074,0.5355,-327.8681,0.4530094,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26149336,0.16036095,0,0.080995,,,,,,,,,,,,,,,,,,,,,,92,G,,,,,,,0.52423555,0.508351,0.535415,0.16142482,0.14769551,0.17434874,,,,,,,21,,0.7100303,0.6894452,0.72771037,-0.036908552,-0.26195297,-0.052440256,-0.4814873,1.388158,1.5532295,1.0516373,1811.1393,2222.0781,1076.2675,4710.2695,5740.0693,4567.1934,4164.7583,4617.849,3000.0,4.633856,5.2,4.3033457,4.7123017,5.2,4.312035,1.0229897,1.1501503,0.814271,145.93407,0.19455847,0.025376445,0,,,,,5338654966092029952,3507.247,2718.9148,4367.17,3253.4224,2717.6433,4079.7642,10033,ABC,52145522,11050563-5850382,166.273486,-58.843964,0.14,0.11,1,15.932,0.086,15.249,0.106,15.122,0.158,,2451578.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110502.0-585111,166.25849999999997,-58.853319444444445,5338655004764202368,1636148068921376768,5338655004764201984,2.3114494e-13,2.1923792e-10,0.99998754,2.0050474e-12,1.2438205e-05,0.0,4.2572574e-06,0.9987534,0.0,0.0012423106,1.2628346e-08,6.9414106e-11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338655004764201984,487.88922,430.79465,557.59906,557.3823,484.25586,655.24744,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110517.7-585044,166.32399999999998,-58.84568333333333,5338655142203407360,1636148068921376768,5338655142203407360,2.6646934e-09,3.122881e-10,0.99996746,2.0090299e-12,3.249527e-05,3.298655e-06,4.014984e-06,0.9967536,0.0,0.0032391648,7.7686843e-07,5.1763225e-09,0.9999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338655142203407360,652.57117,483.339,953.37604,1105.7433,732.01434,5462.02,10133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110509.4-584947,166.28954166666665,-58.82990277777778,5338655348393301376,1636148068921376768,5338655348393300992,1.0229083e-13,5.1093754e-13,0.9999735,7.825737e-10,2.654322e-05,0.0,0.0,0.9973487,3.8875837e-06,0.00264742,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22618604,0.026043333,0,0.239587,,,,,,,,,,,,,,,,,,,,,,92,F,,,M2,,,,,,,,,,,,,,,,,,,,,,0.0001410332,0.5,-1.0,0.4236995,3.9298425,0.0,1497.5277,2943.563,558.7643,6372.327,8000.0,3203.2598,5697.5283,8000.0,3000.0,4.337077,5.2,3.7529087,4.509926,5.2,2.7439404,0.35525662,3.3059368,0.0,-130.53156,0.1305012,0.014566322,0,,,,,5338655348393300992,1427.9313,1400.3293,1455.1183,1434.9613,1392.5425,1471.1183,10033,AAA,52216027,11050949-5849475,166.289579,-58.829865,0.07,0.06,0,13.111,0.038,12.909,0.041,12.819,0.034,,2451578.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110514.1-585204,166.30891666666665,-58.86799444444444,5338654729917949696,1636148068921376768,5338654729917949952,1.7554096e-10,7.333202e-05,0.9999267,2.006178e-12,1.00177186e-10,1.7011529e-05,0.0018531618,0.99812984,0.0,0.0,9.0208285e-11,7.741168e-06,0.99999225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338654729917949952,2862.4487,2014.7789,4851.395,2272.1296,1838.9067,2902.4644,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J110514.3-584941,166.31004166666665,-58.82820277777778,5338655382721666816,1636148068921376768,5338655382721667072,4.1977847e-13,3.494089e-11,0.999739,2.0543296e-12,0.00026105408,0.0,0.0,0.9745516,0.0,0.025448423,3.0109092e-08,6.5838327e-07,0.9999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013030124,0.5,-0.19857441,0.04910772,5.0,0.0,589.3179,1045.7382,134.23608,3522.1753,3848.1055,3000.0,3234.4097,5711.907,3000.0,4.815219,5.1421957,3.52217,4.9969597,5.2,3.725068,0.031934984,3.2691329,0.0,58.165184,0.18081145,0.018163662,0,,,,,5338655382721667072,453.7271,415.98654,497.6474,448.77283,416.4658,483.9902,10033,AAA,52224204,11051441-5849417,166.310043,-58.828251,0.07,0.07,90,14.922,0.042,14.206,0.049,14.019,0.054,,2451578.7332,61475747,J110514.41-584941.6,166.310073,-58.8282287,0.0865,0.0857,0.019,13.974,0.041,14.142,0.048,10.982,0.128,8.654,0.278,P0o0,0,n10n,AABB,55399.03431938,55399.03431938,55308.34035411,55308.34035411,,,,,,,,,826880449
2CXO J110459.0-585012,166.24591666666663,-58.83673055555556,5338655039124041856,1636148068921376768,5338655039124041728,2.37923e-13,9.543646e-11,0.99997234,2.0080602e-12,2.7658787e-05,0.0,1.8470762e-06,0.99723977,0.0,0.0027583886,1.3256951e-08,5.7032653e-11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338655039124041728,441.89935,400.93542,489.4563,455.39218,417.87915,506.8257,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
