_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.238, 4.962, 8.02, 9.055]",1.0,0.238,166.281144,-58.851559,0.13,0.12,166.0,11050747-5851056,16.065,0.095,0.096,9.9,15.208,0.121,0.122,10.4,15.031,0.126,0.127,6.9,BBC,222,111,c00,060606,5.2,280.0,826880712.0,0.0,0.0,826880716.0,s,2000-02-04,73.0,289.547,1.23,-80.0,2451578.7332,1.12,0.89,0.87,16.475,0.514,15.086,0.149,16.318,1.213,4149.0,172.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[0.285],2.0,0.285,166.279832,-58.855743,0.17,0.16,142.0,11050715-5851206,16.244,0.134,0.135,8.4,15.524,0.137,0.137,7.8,15.023,0.16,0.16,7.0,BBC,222,111,ccc,060604,12.9,337.0,826880724.0,0.0,0.0,826880756.0,s,2000-02-04,73.0,289.549,1.226,-77.6,2451578.7332,0.76,0.89,1.06,15.826,0.207,16.431,0.227,15.882,0.835,4134.0,175.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.224, 5.62, 9.884]",3.0,0.224,166.293362,-58.841534,0.07,0.06,0.0,11051040-5850295,13.681,0.029,0.032,89.1,13.045,0.024,0.026,76.0,12.957,0.03,0.032,46.6,AAA,222,111,000,666655,5.8,309.0,826880584.0,0.0,0.0,826880599.0,s,2000-02-04,73.0,289.549,1.241,-102.8,2451578.7332,0.99,0.65,1.14,13.696,0.025,13.049,0.038,13.156,0.083,4185.0,149.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.363, 9.068]",4.0,0.363,166.273486,-58.843964,0.14,0.11,1.0,11050563-5850382,15.932,0.085,0.086,11.2,15.249,0.106,0.106,10.0,15.122,0.158,0.158,6.4,ABC,222,111,000,060606,9.3,219.0,826880651.0,0.0,0.0,826880631.0,s,2000-02-04,73.0,289.541,1.235,-65.8,2451578.7332,1.13,1.1,0.97,16.222,0.298,15.712,0.598,15.438,0.3,4176.0,186.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[6.4, 8.287]",5.0,6.4,166.259793,-58.851685,0.16,0.16,33.0,11050235-5851060,16.283,0.141,0.141,8.1,15.576,,,,15.568,,,,BUU,200,100,000,060000,5.6,85.0,826880715.0,0.0,0.0,826880718.0,s,2000-02-04,73.0,289.537,1.225,-40.3,2451578.7332,1.23,,,16.179,0.231,,,,,4148.0,212.0,se,0.0,1.0,U,1.3,115,17.4,16.3,1.0,,45127.0,1037917.0,221.0,Opt
[7.147],6.0,7.147,166.266118,-58.858368,0.14,0.12,4.0,11050386-5851301,16.024,0.103,0.104,10.3,15.369,0.122,0.123,8.9,15.504,,,,ABU,220,110,000,060600,6.5,26.0,826880769.0,0.0,0.0,826880785.0,s,2000-02-04,73.0,289.543,1.22,-52.0,2451578.7332,0.84,0.84,,15.922,0.172,15.198,0.229,,,4124.0,200.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[3.409, 6.95]",7.0,3.409,166.324563,-58.846561,0.09,0.09,84.0,11051789-5850476,15.684,0.072,0.073,14.1,15.324,0.117,0.117,9.3,15.208,0.17,0.171,5.9,ABC,222,111,000,160606,9.4,15.0,826880632.0,0.0,0.0,826880658.0,s,2000-02-04,73.0,289.566,1.243,-160.9,2451578.7332,1.78,1.08,1.25,15.595,0.096,14.953,0.122,15.68,0.197,4166.0,91.0,se,1.0,1.0,U,0.5,263,18.5,17.1,1.0,,45127.0,1037917.0,221.0,Opt
[2.976],8.0,2.976,166.282092,-58.869381,0.07,0.07,101.0,11050770-5852097,14.935,0.036,0.038,28.1,14.54,0.061,0.062,19.2,14.477,0.085,0.085,11.5,AAA,222,111,000,661606,11.4,249.0,826880925.0,0.0,0.0,826880909.0,s,2000-02-04,73.0,289.555,1.214,-81.7,2451578.7332,0.88,1.46,1.21,14.936,0.099,14.674,0.166,15.555,0.357,4085.0,170.0,se,0.0,1.0,U,1.1,228,15.5,16.4,1.0,,45127.0,1037917.0,221.0,Opt
"[0.249, 3.378, 5.747, 8.903]",9.0,0.249,166.289579,-58.829865,0.07,0.06,0.0,11050949-5849475,13.111,0.036,0.038,150.7,12.909,0.04,0.041,86.2,12.819,0.033,0.034,52.9,AAA,222,111,000,666666,3.2,10.0,826880463.0,0.0,0.0,826880471.0,s,2000-02-04,73.0,289.543,1.251,-95.8,2451578.7332,4.22,2.85,2.19,13.055,0.024,12.82,0.037,12.689,0.021,4227.0,156.0,se,0.0,1.0,U,2.2,219,16.3,12.3,1.0,,45127.0,1037917.0,221.0,Opt
"[3.181, 3.877]",10.0,3.181,166.310289,-58.867523,0.07,0.06,0.0,11051446-5852030,12.428,0.028,0.03,282.6,11.78,0.035,0.036,243.7,11.578,0.033,0.034,166.0,AAA,222,111,000,666666,6.7,258.0,826880887.0,0.0,0.0,826880883.0,s,2000-02-04,73.0,289.568,1.221,-134.2,2451578.7332,1.89,2.61,1.19,12.386,0.026,11.74,0.051,11.544,0.032,4091.0,118.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[6.898],11.0,6.898,166.241826,-58.84993,0.09,0.09,7.0,11045803-5850597,16.014,0.082,0.083,10.4,15.006,0.074,0.075,12.5,14.739,0.111,0.111,9.0,AAB,222,111,000,060606,11.3,280.0,826880689.0,0.0,0.0,826880695.0,s,2000-02-04,73.0,289.528,1.223,-6.8,2451578.7332,1.25,1.08,0.87,16.371,0.178,15.171,0.175,15.137,0.356,4155.0,245.0,se,0.0,1.0,U,0.3,79,20.3,17.4,1.0,,45127.0,1037917.0,221.0,Opt
"[0.258, 8.473]",12.0,0.258,166.310043,-58.828251,0.07,0.07,90.0,11051441-5849417,14.922,0.04,0.042,28.4,14.206,0.048,0.049,26.1,14.019,0.053,0.054,17.5,AAA,222,111,000,663636,8.6,270.0,826880448.0,0.0,0.0,826880449.0,s,2000-02-04,73.0,289.552,1.257,-133.9,2451578.7332,0.94,1.0,0.92,14.933,0.086,14.296,0.133,14.016,0.197,4232.0,118.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[9.642],13.0,9.642,166.249841,-58.838417,0.08,0.07,7.0,11045996-5850183,15.126,0.097,0.098,23.6,14.654,0.109,0.109,17.3,14.571,0.131,0.131,10.5,ABB,222,111,sps,664605,5.9,178.0,826880576.0,0.0,0.0,826880564.0,s,2000-02-04,73.0,289.527,1.235,-21.7,2451578.7332,5.71,4.07,1.55,14.564,0.039,14.104,0.123,14.152,0.143,4196.0,230.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[5.016, 7.566, 7.672]",14.0,5.016,166.256441,-58.831135,0.12,0.11,2.0,11050154-5849520,15.848,0.086,0.087,12.1,15.658,0.161,0.162,6.9,15.122,,,,ACU,220,110,cc0,060600,10.8,326.0,826880458.0,0.0,0.0,826880487.0,s,2000-02-04,73.0,289.528,1.243,-34.0,2451578.7332,0.77,0.77,,15.758,0.117,15.465,0.203,,,4222.0,218.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[3.699],15.0,3.699,166.277054,-58.824402,0.07,0.06,0.0,11050649-5849278,14.546,0.041,0.043,40.2,13.885,0.044,0.045,35.1,13.726,0.053,0.054,23.0,AAA,222,111,000,666666,14.0,61.0,826880380.0,0.0,0.0,826880407.0,s,2000-02-04,73.0,289.535,1.254,-72.4,2451578.7332,2.96,1.83,1.6,14.375,0.036,13.746,0.039,13.533,0.051,4247.0,180.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[6.053, 9.899]",16.0,6.053,166.241443,-58.86491,0.14,0.13,14.0,11045794-5851536,16.091,0.119,0.12,9.7,14.847,,,,14.784,,,,BUU,200,100,p00,060000,8.4,301.0,826880851.0,0.0,0.0,826880865.0,s,2000-02-04,73.0,289.534,1.209,-6.1,2451578.7332,0.92,,,15.799,0.17,,,,,4101.0,246.0,se,0.0,1.0,U,0.4,149,19.0,15.7,1.0,,45127.0,1037917.0,221.0,Opt
[0.244],17.0,0.244,166.253173,-58.828644,0.07,0.06,0.0,11050076-5849431,14.411,0.049,0.05,45.5,13.672,0.039,0.04,42.7,13.509,0.045,0.045,28.0,AAA,222,111,ccc,666666,10.8,146.0,826880487.0,0.0,0.0,826880458.0,s,2000-02-04,73.0,289.525,1.245,-27.9,2451578.7332,2.06,1.21,0.94,14.308,0.075,13.819,0.076,13.527,0.068,4231.0,224.0,se,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[6.355],18.0,6.355,166.234844,-58.837376,0.07,0.06,0.0,11045636-5850145,13.182,0.036,0.038,141.1,12.641,0.038,0.039,110.3,12.53,0.04,0.041,69.1,AAA,222,111,sss,666644,6.1,315.0,826880538.0,0.0,0.0,826880552.0,s,2000-02-04,73.0,289.52,1.233,6.2,2451578.7332,4.09,4.14,3.43,12.995,0.01,12.518,0.038,12.321,0.053,4200.0,247.0,sw,0.0,1.0,U,1.8,158,17.5,13.4,1.0,,45127.0,1037917.0,221.0,Opt
