_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.268],3.0,0.268,J110510.35-585029.2,166.2931287,-58.8414713,0.0533,0.0525,135.0,Im,12.762,0.028,12.878,0.029,12.854,,9.491,,13.681,0.032,13.045,0.026,12.957,0.032,3060.056,2623.213,1.6700591013510397e+18,39.0,4.44,37.1,1.32,-4.0,0.974,-4.9,1.05,2.17,1.0,0.0,0.0,0.0,0.0,0.0,hhO0,1.0,53nn,58.0,58.0,58.0,58.0,0.0,35.0,0.0,37.0,0.0,166.2931279,0.0534,-58.8414719,0.0531,-0.0075,-32,36,-45,36,4.44,1.32,0.974,1.05,2.17,2N000,AAUU,3.0,0.0,58.483,58.754,38.013,39.265,826880599,0.49,2M
[9.495],4.0,9.495,J110504.82-585045.6,166.2700917,-58.8460255,0.1424,0.1207,60.0,Im,14.407,0.053,14.868,0.079,12.694,,9.152,,14.93,0.043,14.492,0.075,14.394,0.081,3091.124,2610.936,1.6700591013510397e+18,20.6,4.08,13.7,1.56,-4.9,0.87,-1.8,0.916,2.06,2.0,1.0,0.0,0.0,0.0,0.0,0hO0,1.0,nnnn,56.0,56.0,30.0,56.0,0.0,37.0,0.0,37.0,0.0,,,,,,,,,,,,,,,,AAUU,3.0,0.0,60.788,60.632,39.721,39.627,826880651,0.518,2M
[],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2.484],8.0,2.484,J110507.77-585209.2,166.2823802,-58.869245,0.1097,0.0968,55.0,Im,14.143,0.044,14.715,0.066,11.581,0.273,8.871,,14.935,0.038,14.54,0.062,14.477,0.085,3073.792,2550.338,1.6700591013510405e+18,24.5,1.47,16.5,1.24,4.0,0.749,0.9,0.872,1.16,2.0,0.0,0.0,0.0,0.0,0.0,hd00,0.0,20nn,59.0,59.0,41.0,59.0,5.0,38.0,1.0,38.0,0.0,166.2824343,0.1082,-58.8692122,0.1038,0.0376,-112,81,-10,82,1.49,1.23,0.749,0.872,1.16,2Y016,AABU,7.0,0.0,60.39,60.285,39.304,40.82,826880909,0.726,2M
[0.864],9.0,0.864,J110509.51-584946.8,166.2896324,-58.829672,0.0544,0.0538,153.3,Im,12.617,0.03,12.701,0.028,12.632,,9.337,,13.111,0.038,12.909,0.041,12.819,0.034,3065.138,2654.051,1.6700591013510397e+18,36.4,3.73,39.0,1.39,-2.6,0.817,-4.7,0.982,1.9,1.0,0.0,0.0,0.0,0.0,0.0,00O0,1.0,21nn,55.0,55.0,55.0,55.0,0.0,35.0,0.0,35.0,0.0,166.2896328,0.0563,-58.8296714,0.0566,0.005,47,38,130,39,3.72,1.39,0.817,0.982,1.9,1N000,AAUU,3.0,0.0,56.311,56.546,35.834,36.378,826880471,0.702,2M
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
