_rs_gaia,_q,_r_gaia,DR3Name_gaia,RA_ICRS_gaia,DE_ICRS_gaia,SolID_gaia,Source_gaia,RandomI_gaia,e_RA_ICRS_gaia,e_DE_ICRS_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,E_BP_RP__gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RV_gaia,e_RV_gaia,n_RV_gaia,o_RV_gaia,o_RVd_gaia,RVNper_gaia,RVS_N_gaia,RVgof_gaia,RVchi2_gaia,RVTdur_gaia,RVamp_gaia,RVtempTeff_gaia,RVtemplogg_gaia,RVtemp_Fe_H__gaia,Vatmparam_gaia,Vbroad_gaia,e_Vbroad_gaia,o_Vbroad_gaia,GRVSmag_gaia,e_GRVSmag_gaia,o_GRVSmag_gaia,RVSS_N_gaia,VarFlag_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,QSO_gaia,Gal_gaia,NSS_gaia,XPcont_gaia,XPsamp_gaia,RVS_gaia,EpochPh_gaia,EpochRV_gaia,MCMCGSP_gaia,MCMCMSC_gaia,And_gaia,PQSO_gaia,PGal_gaia,PSS_gaia,Teff_gaia,b_Teff_gaia,B_Teff_gaia,logg_gaia,b_logg_gaia,B_logg_gaia,__Fe_H__gaia,b__Fe_H__gaia,B__Fe_H__gaia,Dist_gaia,b_Dist_gaia,B_Dist_gaia,A0_gaia,b_A0_gaia,B_A0_gaia,AG_gaia,b_AG_gaia,B_AG_gaia,E_BP-RP__gaia,b_E_BP-RP__gaia,B_E_BP-RP__gaia,Lib_gaia,HIP_gaia,dHIP_gaia,nHIP_gaia,f_HIP_gaia,PS1coid_gaia,PS1_gaia,dPS1_gaia,nPS1_gaia,mPS1_gaia,f_PS1_gaia,SDSS13coid_gaia,SDSS13_gaia,dSDSS13_gaia,nSDSS13_gaia,mSDSS13_gaia,f_SDSS13_gaia,SKYM2_gaia,dSKYM2_gaia,nSKYM2_gaia,mSKYM2_gaia,f_SKYM2_gaia,TYC2_gaia,dTYC2_gaia,f_TYC2_gaia,TYC2moid_gaia,nTYC2_gaia,URAT1_gaia,dURAT1_gaia,f_URAT1_gaia,URAT1oid_gaia,nURAT1_gaia,mURAT1_gaia,AllWISE_gaia,dAllWISE_gaia,f_AllWISE_gaia,AllWISEoid_gaia,nAllWISE_gaia,mAllWISE_gaia,APASS9coid_gaia,APASS9_gaia,dAPASS9_gaia,nAPASS9_gaia,mAPASS9_gaia,f_APASS9_gaia,GSC23_gaia,dGSC23_gaia,f_GSC23_gaia,GSC23coid_gaia,nGSC23_gaia,mGSC23_gaia,RAVE5_gaia,dRAVE5_gaia,f_RAVE5_gaia,RAVE5coid_gaia,nRAVE5_gaia,_2MASS_gaia,d2MASS_gaia,f_2MASS_gaia,_2MASScoid_gaia,n2MASS_gaia,m2MASS_gaia,RAVE6_gaia,dRAVE6_gaia,f_RAVE6_gaia,RAVE6oid_gaia,nRAVE6_gaia,RAJ2000_gaia,DEJ2000_gaia,e_RAJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia
"[0.23293141109365367, 4.108464561767959, 5.070018911056868, 6.287895486188555, 6.759684865470312, 8.038221506607798, 8.123617152206952, 8.963252510765662, 9.353689480413795]",1.0,0.23293141109365367,Gaia DR3 5338654966094701568,166.2810968565,-58.85157750949,1.6361480689213768e+18,5338654966094701568,314802988.0,0.1466,0.1419,0.2685,0.1788,1.5015,5.439,-5.173,0.196,1.679,0.169,0.0573,-0.0107,0.045,0.0736,0.2493,0.1194,-0.1336,0.2133,0.1668,0.1672,328.0,0.0,327.0,1.0,0.2643,359.1,0.418,0.7587,95.0,0.0,,1.2772,0.0436,0.018,-0.132,-0.042,-0.057,0.01,38.0,25.0,0.281928,47.0,19.0,0.0,0.0121,125.0,0.0,0.0,1.009,0.0516,0.114,0.0848,0.133,-159.712,-21.544,43.98,27.438,0.0,360.0,549.47789,1.2695,432.81,18.837492,0.003726,32.0,123.07,5.2798,23.31,20.11316,0.046662,33.0,599.07,10.687,56.055,17.804195,0.019734,1.314,0,1,0,2,0,2.308964,1.275667,1.033297,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.5473910582,1.22960893866,204.39397540419,-56.51237100046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.999999,3695.5,3674.1,3760.4,4.4269,4.4004,4.4734,-1.2844,-1.676,-1.1815,704.7554,656.4268,742.8525,1.3278,1.2567,1.4834,0.9124,0.8629,1.0228,0.4978,0.4717,0.5565,PHOENIX,,,,,,,,,,,,,,,,,424010399,0.075603,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11050747-5851056,0.093508,8,52113515,1,0,,,,,,166.281141307,-58.85158497271,3.129102,2.733591,0.1565
"[0.20078396537133764, 2.1827890437761313, 4.2065937167237895, 4.3773240168868215, 6.6161538747122455, 8.178283691209048]",2.0,0.20078396537133764,Gaia DR3 5338654931734962944,166.27978858224,-58.85571463305,1.6361480689213768e+18,5338654931734962944,76074942.0,0.193,0.1867,1.7749,0.2253,7.8772,12.687,-11.429,0.287,5.508,0.234,0.1886,0.0036,0.1944,0.2122,0.2733,0.2643,0.0245,0.2337,0.0912,0.3224,318.0,8.0,317.0,1.0,0.5927,358.8,0.62,1.064,95.0,0.0,,1.2421,0.0573,0.023,-0.161,-0.136,-0.124,0.019,37.0,26.0,0.432368,45.0,18.0,0.0,0.0142,178.0,0.0,0.0,1.023,,,,,,,,,0.0,330.0,423.93878,1.0424,406.68,19.119108,0.003837,31.0,91.787,11.614,7.9034,20.43159,0.137405,31.0,569.97,11.504,49.547,17.858261,0.022237,1.561,0,8,0,7,0,2.573328,1.312481,1.260847,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.54841843033,1.2255446221,204.3983518386,-56.51579784945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424010402,0.334814,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11050715-5851206,0.102005,8,52092325,1,0,,,,,,166.27988679631,-58.85573911508,4.564538,3.748493,0.3029
"[0.11081483604457709, 4.203871244029374, 5.163725285665656, 5.860886751849129, 5.956827178590938, 6.861876842601485, 7.0385604155143735, 7.422687615174532, 8.057192240390005, 9.747475487165616]",3.0,0.11081483604457709,Gaia DR3 5338655348361782400,166.29328728345,-58.84148712376,1.6361480689213768e+18,5338655348361782400,925967053.0,0.0233,0.0219,2.0133,0.029,69.4542,12.216,-10.68,0.032,5.93,0.027,0.032,-0.0991,-0.0805,0.0841,0.1665,0.1516,-0.0734,0.2234,0.239,0.147,352.0,0.0,351.0,1.0,-1.7601,311.6,0.0,0.0,31.0,0.0,1.427,,,,,,,,41.0,27.0,0.045687,50.0,20.0,0.0,0.00482,115.0,0.0,0.0,0.933,0.0338,0.0866,0.051,0.199,-149.458,-37.51,-29.008,26.063,0.0,364.0,11945.44355,21.765,548.83,15.494361,0.003392,40.0,4721.6,52.085,90.652,16.153315,0.012298,38.0,10549.0,57.277,184.18,14.689833,0.007002,1.278,0,3,0,1,0,1.463482,0.658954,0.804528,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,289.54915831995,1.24137609899,204.38932923988,-56.50075144778,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.998613,4480.8,4463.6,4502.8,4.4795,4.4597,4.4924,-0.8594,-0.9077,-0.8166,505.5554,493.8883,523.7714,0.5023,0.4794,0.5321,0.3821,0.3643,0.405,0.2054,0.1956,0.2176,MARCS,,,,,,,,,,,,,,,,,424010305,0.119297,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S4CB031527,0.524458,10,95162912,1,0,,,,,,11051040-5850295,0.080513,8,52163654,1,0,,,,,,166.29337902196,-58.8415134795,0.511779,0.441394,0.1343
"[0.4038247548902899, 1.7191299026303486, 3.7405631467673097, 4.651278783391073, 6.4038443355539165, 8.140265763476073, 8.342292042242105, 8.738303003371412, 8.798474734728478, 9.085661009727604, 9.134978781123522, 9.993512186799066]",4.0,0.4038247548902899,Gaia DR3 5338654966092030208,166.27346016068,-58.84404281716,1.6361480689213768e+18,5338654966092030208,1342894852.0,0.0671,0.0594,0.2765,0.0787,3.5124,9.309,-9.027,0.089,2.275,0.074,0.0003,-0.1776,-0.0793,0.0774,0.2043,0.1361,-0.0513,0.1038,0.1649,0.0509,372.0,0.0,371.0,1.0,1.7988,434.4,0.257,1.47,31.0,0.0,1.443,,,,,,,,43.0,27.0,0.123681,51.0,19.0,0.0,0.0091,146.0,0.0,0.0,1.066,0.0591,0.121,0.0274,0.173,-159.832,-14.898,50.902,28.047,0.0,406.0,1779.70708,1.8697,951.85,17.561495,0.002982,40.0,712.47,7.916,90.003,18.206629,0.012382,40.0,1529.2,13.065,117.05,16.786747,0.010016,1.26,0,23,0,24,0,1.419882,0.645134,0.774748,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.54076452083,1.23494633917,204.3793014394,-56.50975923383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999995,5072.0,5014.0,5120.3,4.7717,4.7511,4.7893,-1.5452,-1.6543,-1.4638,1020.1569,983.1671,1050.2079,1.0038,0.9533,1.0453,0.7878,0.7463,0.8214,0.431,0.4081,0.4497,MARCS,,,,,,,,,,,,,,,,,424010383,0.195583,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S4CB052487,0.698226,8,95147738,1,1,,,,,,11050563-5850382,0.33387,8,52151586,1,0,,,,,,166.27353770871,-58.84405292704,1.426665,1.182752,0.04
"[0.1170930893185449, 2.4729591344352384, 3.438655079153005, 3.4615377785016865, 6.484240948876184, 7.24074520239316, 8.246676041914116, 8.513289066917636, 8.550268907048501, 8.619056024415803]",5.0,0.1170930893185449,Gaia DR3 5338655004764202368,166.25847924731,-58.85331708305,1.6361480689213768e+18,5338655004764202368,826730277.0,0.2252,0.2147,2.215,0.2724,8.1324,11.926,-10.918,0.315,4.8,0.248,0.108,-0.0728,0.0408,0.0998,0.2506,0.1621,0.034,0.1399,0.1694,0.1637,334.0,0.0,334.0,0.0,-0.2597,357.5,0.0,0.0,95.0,0.0,,1.2092,0.069,-0.012,-0.038,-0.113,-0.115,-0.026,38.0,25.0,0.447211,45.0,17.0,0.0,0.00911,115.0,0.0,0.0,0.989,0.0622,0.175,0.107,0.169,-18.422,-27.414,52.341,28.528,0.0,347.0,282.27096,0.85359,330.68,19.560701,0.004286,21.0,53.416,5.6003,9.5381,21.019365,0.113866,22.0,359.3,7.5642,47.5,18.359255,0.023168,1.462,0,0,0,1,0,2.660111,1.458664,1.201447,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.53735184027,1.22335204287,204.38104880039,-56.52180661441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.25857305929,-58.85333841448,5.032397,3.966428,0.1509
"[3.2660797098344028, 6.010121797239045, 6.117815636950166, 6.151619505534013, 7.051896350840933, 8.01130127174163]",6.0,3.2660797098344028,Gaia DR3 5338654901686118400,166.26131212136,-58.85984270893,1.6361480689213768e+18,5338654901686118400,339980895.0,0.396,0.4338,-0.6814,0.5096,-1.3371,4.836,-4.831,0.566,-0.204,0.548,0.1413,0.008,-0.1254,-0.0382,0.3128,-0.0223,-0.3877,0.1542,0.1564,0.2912,304.0,0.0,303.0,1.0,1.2756,350.7,1.477,1.367,95.0,0.0,,1.3153,0.1178,0.016,-0.057,-0.069,-0.157,-0.057,35.0,22.0,0.886941,41.0,16.0,0.0,0.0234,147.0,0.0,0.0,1.052,0.0583,0.165,0.125,0.153,-93.101,-32.694,36.081,36.689,0.0,299.0,162.47386,0.81457,199.46,20.160408,0.006101,16.0,43.932,5.1936,8.459,21.231585,0.128384,20.0,143.86,8.2604,17.415,19.353058,0.062458,1.156,0,0,0,0,0,1.878527,1.071176,0.80735,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.54129745177,1.21795115775,204.39123168254,-56.52543729117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.2613536435,-58.85984180245,9.108432,8.945212,0.2866
"[0.2646366049651487, 3.200853942953922, 3.2880102490369043, 5.062982878044414, 6.287326175917938, 6.297273078746058, 6.394848641810104, 6.8979310816784665, 7.215664461200782, 8.47001995149288, 9.055656589459954, 9.060158541703661, 9.766307679872417]",7.0,0.2646366049651487,Gaia DR3 5338655142203407360,166.32403154928,-58.84571825917,1.6361480689213768e+18,5338655142203407360,1588349845.0,0.3801,0.3748,2.1269,0.4686,4.5392,11.831,-11.486,0.533,2.838,0.476,0.0653,-0.0963,0.0449,0.0828,0.1965,0.1502,-0.0633,0.18,0.2215,0.1646,338.0,0.0,333.0,5.0,4.6968,538.9,2.693,15.5,95.0,0.0,,1.0059,0.1092,-0.053,-0.129,-0.128,-0.186,-0.153,40.0,26.0,0.771667,46.0,18.0,0.0,0.0761,52.3,0.0,0.0,1.188,0.0892,0.132,0.0773,0.17,-50.169,-29.274,49.006,30.751,0.0,358.0,202.70305,0.96148,210.82,19.920216,0.005841,14.0,44.002,5.278,8.3368,21.229872,0.130264,16.0,290.46,6.1764,47.028,18.590172,0.023394,1.65,0,1,0,1,0,2.6397,1.309656,1.330044,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.56543862559,1.24382365583,204.41527098094,-56.49263557055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.32413022464,-58.84573087277,8.523467,7.647151,0.1532
"[2.6492292892275966, 3.212292698936608, 4.077110965096636, 6.802149620778118, 7.616110284297377, 9.381600278462475]",8.0,2.6492292892275966,Gaia DR3 5338654832965448832,166.28197063976,-58.86927991826,1.6361480689213768e+18,5338654832965448832,426100704.0,0.073,0.0581,0.1354,0.0785,1.7243,8.563,-8.198,0.088,2.474,0.072,0.0012,-0.1356,-0.2519,0.1309,0.1788,0.1863,-0.028,0.1226,0.1595,0.1153,354.0,0.0,343.0,11.0,14.0965,884.0,0.574,14.1,95.0,0.0,,1.4667,0.0182,-0.002,-0.077,0.008,-0.086,-0.028,40.0,26.0,0.125882,49.0,18.0,0.0,0.00415,32.4,32.0,0.0,1.588,0.101,0.187,0.0684,0.274,-95.123,-11.881,54.027,32.394,0.0,358.0,3476.50072,3.3205,1047.0,16.83451,0.002944,32.0,2438.4,11.787,206.87,16.870785,0.005944,33.0,4161.9,14.729,282.57,15.699655,0.00539,1.899,0,32,0,33,0,1.17113,0.036274,1.134856,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.55485781841,1.21355115921,204.41703746824,-56.52468827532,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5e-06,0.999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424010617,0.347611,1,1,12,,,,,,,,,,,,J110507.77-585209.2,0.730849,12,61319014,1,1,,,,,,,S4CB029969,0.31881,12,94991476,1,1,,,,,,11050770-5852097,0.338285,12,52023886,1,1,,,,,,166.28204111468,-58.8692909147,1.432481,1.156099,0.0975
"[0.178583362339367, 3.3023709647396937, 3.5025765975009753, 4.626140749386339, 5.730267038690431, 6.392638866400461, 8.108699378204172, 8.237095051516983, 8.898129495383072, 8.917428539139372, 9.378086537027574, 9.909813028966802]",9.0,0.178583362339367,Gaia DR3 5338655348393301376,166.28952849011,-58.82986064716,1.6361480689213768e+18,5338655348393301376,896465754.0,0.0141,0.014,0.6652,0.0166,40.1406,5.805,-5.796,0.018,-0.312,0.018,-0.0084,-0.1918,-0.2334,0.078,0.2095,0.1106,-0.2775,0.1946,0.0553,0.2125,335.0,0.0,333.0,2.0,0.7629,352.0,0.0,2.219e-15,31.0,0.0,1.58,,,,,,,,39.0,26.0,0.027309,49.0,20.0,0.0,0.00228,131.0,0.0,0.0,1.029,0.0513,0.0764,0.0769,0.217,-48.547,-49.404,-34.122,27.74,0.0,363.0,43815.56475,10.628,4122.5,14.083296,0.002768,44.0,24594.0,19.707,1248.0,14.361473,0.002923,39.0,27869.0,12.781,2180.5,13.635087,0.003812,1.197,0,0,0,0,0,0.726386,0.278177,0.448209,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.54274338104,1.25126683256,204.37206628386,-56.49381159425,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424010295,0.356129,1,0,8,,,,,,,,,,,,,,,,,,5816745,40577650,0.912681,1,2,8,S4CB032153,0.72172,8,95235236,1,0,,,,,,11050949-5849475,0.020719,8,52222083,1,0,,,,,,166.28957826277,-58.82985926128,0.29192,0.285906,0.1977
"[0.08267968619696421, 1.0044731167565428, 1.3607208858351096, 1.9161709407034837, 3.184802030668858, 3.9381538661573665, 4.369119068742316, 5.3716430188886495, 7.192397609248737, 7.21934155240092, 7.69677862584359, 7.899912194439244, 8.678504025346582, 9.562445838748703, 9.822999922724263]",10.0,0.08267968619696421,Gaia DR3 5338654729917949696,166.30885823665,-58.86800512927,1.6361480689213768e+18,5338654729917949696,1616769937.0,0.132,0.1247,0.4549,0.1517,2.9993,8.336,-8.015,0.191,2.291,0.16,0.1316,-0.1839,0.2496,0.1815,-0.0091,0.2301,0.1928,0.1131,0.1394,0.1809,280.0,0.0,263.0,17.0,0.7442,290.5,0.585,2.624,95.0,0.0,,1.3723,0.0358,0.106,-0.116,-0.032,0.091,-0.107,30.0,20.0,0.278315,42.0,18.0,2.0,0.05,51.1,19.0,7.0,1.032,0.143,0.0475,0.241,0.296,87.501,-24.656,26.796,12.648,0.0,308.0,929.57336,4.8076,193.36,18.266657,0.006255,15.0,725.27,30.068,24.121,18.187296,0.045099,14.0,1803.0,36.298,49.672,16.60793,0.022183,2.72,0,15,0,14,0,1.579367,-0.079361,1.658728,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,289.56710506855,1.22025441817,204.4334008848,-56.51404050027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05,0.999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.30892713721,-58.86801531139,3.025616,2.541756,0.1652
