_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.188, 6.869]",1.0,0.188,167.98087,-60.614498,0.06,0.06,0.0,11115540-6036521,12.74,0.023,0.026,227.2,12.587,0.032,0.033,133.1,12.582,0.032,0.033,68.2,AAA,222,111,000,556666,7.1,218.0,794092151.0,0.0,0.0,794092173.0,s,2000-01-23,100.0,291.019,-0.065,-71.7,2451566.822,0.67,0.82,0.82,12.756,0.008,12.634,0.051,12.629,0.052,2756.0,181.0,ne,0.0,1.0,U,0.2,105,15.1,14.0,1.0,,43449.0,999324.0,233.0,Opt
"[7.439, 8.674]",2.0,7.439,167.976944,-60.626083,0.06,0.06,0.0,11115446-6037338,9.905,0.021,0.024,3093.4,8.605,0.049,0.051,5210.9,8.053,0.025,0.029,4417.9,AAA,211,111,000,666666,7.4,143.0,794092025.0,0.0,0.0,794092046.0,s,2000-01-23,100.0,291.021,-0.077,-64.7,2451566.822,0.9,0.64,0.94,9.913,0.025,8.675,0.097,8.085,0.035,2797.0,188.0,ne,0.0,1.0,U,0.2,29,19.3,16.1,1.0,,43449.0,999324.0,233.0,Opt
"[1.907, 3.743]",3.0,1.907,167.971989,-60.605133,0.07,0.06,84.0,11115327-6036184,14.487,0.077,0.078,45.5,14.067,0.09,0.09,34.1,13.906,0.083,0.083,20.1,AAA,222,111,ccc,666645,5.6,164.0,794092266.0,0.0,0.0,794092283.0,s,2000-01-23,100.0,291.011,-0.058,-56.0,2451566.8221,5.85,5.17,2.66,13.926,0.022,13.382,0.024,13.37,0.132,2722.0,196.0,ne,0.0,1.0,U,1.0,118,13.9,13.7,1.0,,43449.0,999325.0,245.0,Opt
"[2.456, 6.147]",4.0,2.456,167.957753,-60.63166,0.19,0.18,68.0,11114986-6037539,15.061,0.192,0.193,26.8,13.138,,,,13.052,,,,EUU,200,100,p00,550000,5.6,57.0,794091982.0,0.0,0.0,794091969.0,s,2000-01-23,100.0,291.015,-0.085,-30.9,2451566.822,24.09,,,13.566,0.068,,,,,2818.0,222.0,ne,0.0,1.0,U,4.4,234,13.3,11.9,1.0,,43449.0,999324.0,233.0,Opt
"[0.236, 6.054]",5.0,0.236,168.002515,-60.621235,0.06,0.06,0.0,11120060-6037164,14.532,0.032,0.034,43.6,14.006,0.02,0.022,36.0,13.999,0.048,0.049,18.5,AAA,222,111,0cc,664604,6.0,28.0,794092109.0,0.0,0.0,794092094.0,s,2000-01-23,100.0,291.031,-0.067,-109.9,2451566.822,1.47,1.57,1.46,14.572,0.055,14.231,0.103,14.754,0.158,2780.0,142.0,ne,0.0,1.0,U,0.7,140,16.8,15.9,1.0,,43449.0,999324.0,233.0,Opt
"[0.291, 9.784]",6.0,0.291,167.939307,-60.619148,0.07,0.07,0.0,11114543-6037089,15.398,0.069,0.07,19.6,14.75,0.065,0.066,18.2,14.812,0.119,0.12,8.7,AAB,222,111,000,461606,10.0,133.0,794092095.0,0.0,0.0,794092118.0,s,2000-01-23,100.0,291.002,-0.077,1.7,2451566.822,1.06,1.07,0.93,15.251,0.16,14.948,0.24,14.781,0.18,2773.0,251.0,nw,0.0,1.0,U,0.3,20,18.5,16.8,2.0,,43449.0,999324.0,233.0,Opt
"[2.262, 5.262, 8.3]",7.0,2.262,168.005521,-60.610332,0.14,0.13,117.0,11120132-6036371,15.762,0.133,0.134,14.1,14.334,,,,14.357,,,,BUU,260,200,c00,560000,3.4,84.0,794092221.0,0.0,0.0,794092218.0,s,2000-01-23,100.0,291.028,-0.057,-115.3,2451566.8221,0.98,,,14.964,0.091,,,,,2740.0,137.0,ne,0.0,1.0,U,1.2,294,18.0,16.4,1.0,,43449.0,999324.0,233.0,Opt
[0.318],8.0,0.318,168.015618,-60.61002,0.06,0.06,0.0,11120374-6036360,13.071,0.02,0.023,167.5,12.957,0.02,0.022,94.7,12.852,0.023,0.024,53.2,AAA,222,111,000,665566,14.5,267.0,794092221.0,0.0,0.0,794092224.0,s,2000-01-23,100.0,291.033,-0.055,-133.1,2451566.8221,0.85,0.78,0.92,13.087,0.021,13.057,0.075,12.883,0.041,2739.0,119.0,ne,0.0,1.0,U,0.5,35,14.8,14.2,1.0,,43449.0,999324.0,233.0,Opt
[3.05],9.0,3.05,168.019854,-60.619534,0.06,0.06,0.0,11120476-6037103,13.642,0.039,0.041,99.0,12.453,0.041,0.042,150.6,12.022,0.032,0.033,114.2,AAA,222,111,000,666666,10.7,181.0,794092081.0,0.0,0.0,794092113.0,s,2000-01-23,100.0,291.038,-0.063,-140.5,2451566.822,6.8,5.69,4.51,13.407,0.023,12.297,0.033,11.873,0.033,2774.0,112.0,ne,0.0,1.0,U,1.6,174,17.1,15.8,1.0,,43449.0,999324.0,233.0,Opt
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
