name,ra,dec,PU,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
2CXO J111155.3-603652,167.98079166666665,-60.61453333333333,0.81,6.93,2.9582655786151108e-15,5.366015359638425e-16,1.775e-15,4.79e-16,2.1850000000000002e-15,1.15e-15,6.918265578615111e-15,1.3564225773698825e-15,0.818,,,Gaia DR3 5337639468360878848,,,13.445716,0.002784,13.617519,0.002859,13.149905,0.003838,0.6777,0.0227,7.514,,,,,,,0,11115540-6036521,12.74,0.026,12.587,0.033,12.582,0.033,0,J111155.35-603652.1,12.449,0.019,12.613,0.015,0,1680m606o0021378,12.544991562743167,-0.0024219727470035,12.520484233656742,-0.0054396772920665,0,,,,,,,,,,-8,0.0,catwise,12.449,0.019,12.613,0.015
2CXO J111153.8-603740,167.97454166666665,-60.62778055555555,0.86,3.03,6.31e-16,2.3660000000000004e-16,2.855860428764341e-16,2.0474006573445143e-16,4.268682400295329e-16,3.2250349711916155e-16,1.3434542829059673e-15,4.493401386155443e-16,0.485,,,Gaia DR3 5337639090360789248,,,20.027052,0.005837,21.424618,0.118543,18.746256,0.038081,-0.1556,0.4499,6.578,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111153.3-603620,167.97241666666667,-60.60561944444444,0.81,5.87,1.833e-15,4.2e-16,1.5912021154391972e-15,4.435001278243646e-16,1.7050154063077908e-15,8.936790357935037e-16,5.129217521746988e-15,1.082476134793296e-15,0.544,,,Gaia DR3 5337640258634867840,,,17.518976,0.003119,18.362621,0.026869,16.498278,0.011853,0.3686,0.0765,6.159,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111149.6-603751,167.9569583333333,-60.6311,0.76,4.54,9.739561740102713e-16,2.980056308400263e-16,1.0442018856961032e-15,3.4996351179007363e-16,4.074796452020233e-16,3.078552074369267e-16,2.4256377049083976e-15,5.532238645818129e-16,0.908,,,Gaia DR3 5337639846317976704,,,17.92013,0.003791,18.64865,0.139909,16.934132,0.021166,0.6636,0.1108,6.425,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-4,,,,,,,,,,-8,,,,,,
2CXO J111200.6-603716,168.00262499999997,-60.621272222222224,0.87,4.06,1.3040848473109793e-15,3.5167245784892955e-16,6.2342021154392005e-16,2.754500020580909e-16,4.54155892008991e-16,3.4311960852378833e-16,2.3816609508638906e-15,5.632737229774057e-16,0.451,,,Gaia DR3 5337639502720617600,,,15.931214,0.002949,16.413895,0.006063,15.275711,0.005041,0.6369,0.0329,7.084,,,,,,,0,11120060-6037164,14.532,0.034,14.006,0.022,13.999,0.049,0,,,,,,-8,1680m606o0114747,14.100306060511937,-0.0082055924494057,13.88505606483131,-0.0160932270854644,0,,,,,,,,,,-8,0.0,unwise,14.100306060511937,-0.0082055924494057,13.88505606483131,-0.0160932270854644
2CXO J111145.4-603709,167.9393333333333,-60.61922777777778,0.95,3.06,8.642e-16,2.778e-16,1.1952310720826923e-16,9.03009791933652e-17,5.056194461807758e-16,3.8200087126058443e-16,1.4893425533890452e-15,4.808864444826102e-16,0.568,,,Gaia DR3 5337639846317982720,,,16.885052,0.003026,17.44404,0.00772,16.182283,0.005837,0.667,0.0524,7.147,,,,,,,0,11114543-6037089,15.398,0.07,14.75,0.066,14.812,0.12,0,J111145.50-603710.0,14.472,0.008,14.808,0.024,0,,,,,,-4,,,,,,,,,,-8,0.0,catwise,14.472,0.008,14.808,0.024
2CXO J111201.0-603635,168.00449999999995,-60.60995277777778,1.0,4.67,6.586999999999999e-16,2.4699999999999997e-16,1.6789574614729635e-16,1.3734000594391746e-16,3.768202115439196e-15,1.2335000459587457e-15,4.594797861586492e-15,1.2654618289829616e-15,0.026,,,Gaia DR3 5337639502679834240,,,20.612553,0.012237,22.515633,0.097619,18.75967,0.058766,-0.4863,1.0041,5.861,,,,,,,2,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111203.7-603635,168.01579166666664,-60.60999722222223,1.04,4.49,1.3316061165744974e-15,3.589750587706338e-16,5.725e-16,2.785e-16,4.547941996576337e-16,3.4360185674377956e-16,2.3589003162321306e-15,5.696381121178189e-16,0.437,,,Gaia DR3 5337639537080370432,,,13.767904,0.002801,13.920761,0.002901,13.470708,0.00387,0.462,0.0271,6.338,,,,,,,0,11120374-6036360,13.071,0.023,12.957,0.022,12.852,0.024,0,,,,,,-8,1680m606o0021524,12.827640692961417,-0.0025847002580732,12.955505930299498,-0.0066879962125576,0,,,,,,,,,,-8,0.0,unwise,12.827640692961417,-0.0025847002580732,12.955505930299498,-0.0066879962125576
2CXO J111204.8-603707,168.02004166666666,-60.61869166666667,0.92,4.0,7.455404230878394e-16,2.68400008448601e-16,6.202104623244388e-16,2.6564425558254004e-16,6.538070823968585e-16,5.74397769382795e-16,2.019557967809137e-15,6.874141637551128e-16,0.999,,,Gaia DR3 5337639433958299392,,,16.885555,0.002939,17.41551,0.007725,16.18167,0.005077,0.5751,0.0522,7.14,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111158.5-603545,167.99404166666665,-60.595958333333336,0.87,7.17,2.413e-15,4.88e-16,2.686265578615111e-15,5.765944921682436e-16,3.4345628888181805e-15,1.481726857882259e-15,8.53382846743329e-15,1.6631655629456701e-15,0.971,,,Gaia DR3 5337639601460706176,,,16.758968,0.003124,17.380487,0.009749,15.996933,0.006588,0.4891,0.051,6.309,,,,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111203.4-603615,168.01441666666665,-60.60430277777778,0.89,4.38,1.111680616432585e-15,3.2866359166648567e-16,9.120412510643442e-16,3.38213742079705e-16,8.568e-16,6.512e-16,2.880521867496929e-15,8.04033414615756e-16,0.045,,,Gaia DR3 5337639532746972800,,,19.111994,0.004804,20.47703,0.066779,17.888552,0.016495,0.5208,0.2089,6.207,,,,,,,0,11120353-6036157,15.961,0.096,15.115,0.085,14.761,0.131,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111157.9-603530,167.9915833333333,-60.59175555555556,1.4,3.52,7.089797884560808e-16,2.7155000208764924e-16,7.066595769121605e-16,2.984000075992108e-16,7.922195804211651e-16,5.985303220366644e-16,2.2078589457894058e-15,7.218175077998071e-16,0.224,,,Gaia DR3 5337639605809501952,,,16.712353,0.009615,16.709433,0.00644,15.476275,0.00437,-0.91,0.4748,9.686,,,,,,,0,11115796-6035302,14.491,0.041,14.108,0.055,14.061,0.085,0,,,,,,-4,,,,,,-4,,,,,,,,,,-8,,,,,,
2CXO J111139.6-603639,167.91520833333334,-60.61094166666667,1.03,3.87,9.944191538243212e-16,3.0870002938262973e-16,6.514e-16,2.878e-16,3.864154927968277e-16,2.919410161772148e-16,2.032234646621149e-15,5.1318038258240295e-16,0.312,,,Gaia DR3 5337639915037460480,,,17.403263,0.003122,18.15738,0.011581,16.49382,0.007654,0.6852,0.0739,7.493,,,,,,,0,11113966-6036392,15.247,0.06,14.574,0.052,14.37,0.085,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
2CXO J111159.5-603531,167.99824999999998,-60.59214166666667,0.94,5.7,1.655e-15,4.009999999999999e-16,1.2693191538243212e-15,4.008000226307833e-16,1.1698452521996449e-15,7.812678556000468e-16,4.0941644060239646e-15,9.653088212249652e-16,0.613,,,Gaia DR3 5337639635820450304,,,16.934208,0.003077,17.70909,0.012683,16.07519,0.006086,0.4679,0.0556,6.236,,,,,,,0,11115957-6035316,14.711,0.035,14.142,0.04,13.959,0.051,0,,,,,,-8,,,,,,-4,,,,,,,,,,-8,,,,,,
2CXO J111155.9-603852,167.98308333333333,-60.647958333333335,0.75,3.7,5.960870776217232e-16,2.387389080491391e-16,5.577e-16,2.6420000000000003e-16,4.661202115439197e-16,4.661500012161346e-16,1.619907289165643e-15,5.865950305366536e-16,0.643,,,Gaia DR3 5337639056000961280,,,19.816454,0.004863,21.5204,0.084729,18.004442,0.057213,0.4961,0.3504,5.921,,,,,,,0,11115592-6038522,15.987,0.102,15.35,0.143,14.984,,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,
