_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[1.327],1.0,1.327,J111155.23-603653.0,167.9801483,-60.6147238,0.0593,0.0573,21.4,Im,12.315,0.034,12.445,0.029,9.205,0.054,6.217,0.073,12.74,0.026,12.587,0.033,12.582,0.033,2077.126,1951.264,1.6800606013510267e+18,31.5,9.7,37.4,2.88,20.1,12.9,14.9,9.43,8.15,2.0,0.0,0.0,0.0,0.0,0.0,0hd0,1.0,3087,57.0,57.0,57.0,57.0,36.0,36.0,31.0,35.0,0.0,167.9801633,0.058,-60.614723,0.0592,-0.0395,166,36,8,37,9.69,2.89,12.9,9.42,8.15,1N000,AAAA,15.0,0.0,56.623,57.668,37.206,34.642,794092173,1.512,2M
[7.406],2.0,7.406,J111154.45-603733.8,167.9769052,-60.6260812,0.035,0.0327,138.8,Im,7.724,0.026,7.887,0.02,7.602,0.022,6.836,0.089,9.905,0.024,8.605,0.051,8.053,0.029,2081.281,1921.527,1.6800606013510257e+18,42.4,1.46,55.3,1.43,48.5,1.02,12.2,1.08,1.29,1.0,0.0,0.04,0.0,0.0,0.0,0h00,0.0,1111,57.0,57.0,57.0,57.0,35.0,35.0,29.0,34.0,7000.0,167.9769052,0.034,-60.6260812,0.0364,-0.0109,0,23,0,24,1.46,1.43,1.02,1.08,1.29,2N000,AAAA,15.0,0.0,55.808,58.299,36.954,36.06,794092046,0.069,2M
[],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[4.642, 9.691]",4.0,4.642,J111150.28-603750.7,167.959501,-60.6307721,0.049,0.0477,157.5,Im,11.677,0.028,11.67,0.027,8.362,0.051,5.719,0.052,12.317,0.043,12.247,0.051,12.187,0.043,2103.624,1909.234,1.680060601351027e+18,39.0,9.09,40.4,3.87,21.4,14.0,20.8,17.2,9.85,3.0,0.0,0.0,0.0,0.0,0.0,Ph00,1.0,n155,58.0,58.0,58.0,58.0,36.0,36.0,32.0,35.0,0.0,167.9595046,0.0478,-60.6307736,0.0487,-0.0059,40,28,-38,28,9.09,3.88,14.0,17.2,9.84,2N000,AAAA,15.0,0.0,58.984,58.959,37.877,35.983,794091982,1.581,2M
[],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9.298],6.0,9.298,J111146.38-603715.3,167.9432791,-60.6209374,0.1612,0.1525,28.4,Im,15.118,0.07,17.318,,10.358,,7.757,,14.772,0.036,14.237,0.047,14.182,0.07,2124.477,1934.966,1.680060601351028e+18,15.6,5.6,-13.2,3.97,1.5,0.446,-0.8,0.728,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0000,1.0,3nnn,34.0,58.0,9.0,58.0,2.0,36.0,0.0,33.0,0.0,167.943275,0.1579,-60.6209332,0.1614,0.0388,-91,233,261,239,5.6,3.97,0.446,0.728,3.21,1N000,AUUU,1.0,0.0,60.984,60.23,38.929,36.318,794092095,0.491,2M
[],7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2.832],9.0,2.832,J111204.81-603710.1,168.0200619,-60.6194783,0.0512,0.0484,173.2,Im,11.54,0.026,11.698,0.027,10.523,0.276,8.48,,13.642,0.041,12.453,0.042,12.022,0.033,2025.853,1938.818,1.6800606013510262e+18,41.2,1.82,40.1,1.61,3.9,0.584,-4.1,0.824,1.32,2.0,1.0,0.0,0.0,0.0,0.0,00D0,0.0,nnnn,55.0,55.0,55.0,55.0,15.0,35.0,0.0,34.0,0.0,168.0200595,0.0543,-60.6195035,0.0535,-0.0043,86,31,-57,31,9.01,4.04,0.594,0.854,4.29,1N009,AABU,7.0,0.0,55.921,56.58,35.001,34.058,794092113,0.418,2M
[8.35],10.0,8.35,J111157.43-603546.1,167.9893321,-60.5961405,0.1657,0.146,42.2,Im,17.4,,17.296,,10.149,0.107,8.161,,,,,,,,2065.338,1999.922,1.6800606013510277e+18,-0.1,5.3,-23.9,2.86,10.1,0.751,1.8,0.849,2.84,1.0,0.0,0.0,0.0,0.0,0.006,0Hh0,1.0,nn0n,7.0,55.0,0.0,55.0,31.0,35.0,1.0,32.0,1.0,167.9893321,0.1533,-60.5961405,0.1552,0.0535,0,295,0,296,5.3,2.86,0.751,0.849,2.84,1N000,UUAU,4.0,0.0,57.475,58.143,37.281,34.01,,,2M
