_rs_catwise,_q,_r_catwise,objID_catwise,RA_ICRS_catwise,e_RA_ICRS_catwise,DE_ICRS_catwise,e_DE_ICRS_catwise,Name_catwise,ePos_catwise,Xpos_catwise,Ypos_catwise,skyW1_catwise,e_skyW1_catwise,confW1_catwise,skyW2_catwise,e_skyW2_catwise,confW2_catwise,nW1_catwise,mW1_catwise,nW2_catwise,mW2_catwise,_tab1_20_catwise,RAPMdeg_catwise,e_RAPMdeg_catwise,DEPMdeg_catwise,e_DEPMdeg_catwise,ePosPM_catwise,pmRA_catwise,e_pmRA_catwise,pmDE_catwise,e_pmDE_catwise,snrW1pm_catwise,snrW2pm_catwise,FW1pm_catwise,e_FW1pm_catwise,FW2pm_catwise,e_FW2pm_catwise,W1mproPM_catwise,e_W1mproPM_catwise,chi2W1pm_catwise,W2mproPM_catwise,e_W2mproPM_catwise,chi2W2pm_catwise,chi2pm_catwise,pmQual_catwise,Dist_catwise,dW1mpro_catwise,chi2dW1mpro_catwise,dW2mpro_catwise,chi2dW2mpro_catwise,ELONavg_catwise,e_ELONavg_catwise,ELATavg_catwise,e_ELATavg_catwise,dELON_catwise,e_dELON_catwise,dELAT_catwise,e_dELAT_catwise,snrdELON_catwise,snrdELAT_catwise,chi2pmRA_catwise,chi2pmDE_catwise,ka_catwise,k1_catwise,k2_catwise,km_catwise,plx1_catwise,e_plx1_catwise,plx2_catwise,e_plx2_catwise,Sep_catwise,ccf_catwise,abf_catwise,WISEA_catwise
"[0.356, 7.378]",1.0,0.356,1680m606_b0-029723,167.9806173,0.0342,-60.6144835,0.0419,J111155.35-603652.1,0.0213,1038.737,976.432,104.49,77.8,14.82,205.05,93.2,26.2,13,13,13,13,56828.100335,167.9806511,0.035,-60.6144877,0.042,0.0217,-0.00212,0.0061,0.02926,0.007,58.1,71.3,10000.0,200.0,9000.0,100.0,12.449,0.019,10.5,12.613,0.015,3.573,6.992,3N000,0.268,,,,,,,,,,,,,,,,,2,2,2,2,,,,,1.218,0hd0,00,WISEA
[7.404],2.0,7.404,1680m606_b0-000559,167.9768817,0.0167,-60.6260739,0.0189,J111154.46-603733.9,0.0039,1041.131,961.259,15.87,41.9,3.22,168.55,90.3,25.77,13,13,13,13,57010.480231,167.9769198,0.0162,-60.6260845,0.0185,0.0037,0.00749,0.0029,-0.00855,0.0033,103.2,146.0,840000.0,8000.0,690000.0,5000.0,7.686,0.011,3.447,7.901,0.007,0.9002,2.156,2N000,0.028,0.049,4.406,-0.016,1.158,207.795471,0.017,-57.158193,0.018,-0.022,0.035,-0.016,0.037,0.608,0.441,0.303,17.1,3,3,3,3,-0.01,0.017,-0.016,0.018,0.029,0h00,00,WISEA
[],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2.517, 4.931]",4.0,2.517,1680m606_b0-039323,167.9555903,0.0619,-60.6309037,0.0704,J111149.35-603751.2,-0.0179,1054.798,954.928,116.74,80.1,42.75,204.41,101.1,46.09,13,13,13,13,57002.986527,167.9555404,0.0396,-60.6309423,0.0745,-0.0381,0.44738,0.0085,0.05039,0.0156,99.3,26.3,6600.0,70.0,6900.0,300.0,12.959,0.011,10.71,12.906,0.041,4.511,7.557,3N001,0.655,-0.023,0.158,-0.093,1.299,207.788454,0.069,-57.169041,0.064,-0.649,0.141,-0.253,0.131,4.595,1.931,8670.0,113.0,3,3,3,3,-0.587,0.079,-0.745,0.087,,,00,WISEA
[5.98],5.0,5.98,1680m606_b0-092688,167.9994766,0.0763,-60.6218836,0.0823,J111159.88-603718.8,-0.022,1026.623,966.747,-1.45,31.8,0.0,188.15,46.9,3.65,8,13,9,13,57015.438867,168.0002087,0.0455,-60.6216633,0.0499,0.0318,1.00712,0.0134,0.46742,0.0137,64.0,38.5,3400.0,50.0,2800.0,70.0,13.668,0.017,64.69,13.888,0.028,25.79,44.95,1N001,6.441,-1.373,44.618,-0.859,22.969,207.804258,0.083,-57.147332,0.076,-2.646,0.207,5.893,0.318,12.812,18.507,1820.0,257.0,3,3,3,3,-1.051,0.085,-1.241,0.094,,,D0,WISEA
"[0.941, 9.286]",6.0,0.941,1680m606_b0-118796,167.9395818,0.0255,-60.619459,0.0258,J111145.50-603710.0,0.0028,1065.09,969.902,124.93,91.7,37.29,314.24,110.8,27.68,13,13,13,13,56994.274103,167.9396181,0.0271,-60.6194569,0.0277,0.0049,0.01267,0.0099,-0.0043,0.0103,131.8,45.9,1600.0,10.0,1200.0,30.0,14.472,0.008,11.41,14.808,0.024,2.537,6.925,2N000,0.0,-0.006,0.149,0.218,19.63,207.763212,0.025,-57.166712,0.026,-0.045,0.051,0.0,0.052,0.883,0.0,1.35,75.1,3,3,3,3,-0.05,0.027,-0.061,0.027,,,00,WISEA
[2.841],7.0,2.841,1680m606_b0-088613,168.0059009,0.0239,-60.6103403,0.029,J111201.42-603637.2,-0.0025,1022.496,981.859,51.06,68.8,0.0,176.46,69.8,43.76,13,13,13,13,56903.926151,168.005932,0.0305,-60.6103206,0.039,-0.0095,-0.02838,0.0082,0.07901,0.0094,111.0,67.9,2800.0,20.0,1800.0,30.0,13.873,0.01,25.53,14.334,0.016,4.042,14.69,3N000,0.178,0.009,0.207,-0.092,8.726,207.792956,0.027,-57.137017,0.026,-0.086,0.054,0.173,0.053,1.595,3.26,0.000887,2.17,3,3,3,3,-0.058,0.045,-0.04,0.028,,,00,WISEA
[],8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2.902, 6.524]",9.0,2.902,1680m606_b0-013715,168.0200985,0.0179,-60.6194974,0.0207,J111204.83-603710.2,0.004,1013.378,969.87,-11.67,37.9,99.51,87.67,45.2,210.17,13,13,13,13,57017.689517,168.0201309,0.0187,-60.6195086,0.0222,0.0024,-0.00933,0.0036,-0.01224,0.0044,96.0,130.7,28000.0,300.0,24000.0,200.0,11.395,0.011,5.449,11.575,0.008,3.108,4.251,3N000,0.03,-0.06,7.031,0.007,0.17,207.814008,0.019,-57.138404,0.02,-0.071,0.038,-0.015,0.04,1.878,0.37,11.5,6.71,3,3,3,3,-0.042,0.021,-0.043,0.02,0.171,00D0,00,WISEA
[2.286],10.0,2.286,1680m606_b0-139880,167.9928218,0.032,-60.596169,0.038,J111158.28-603546.2,0.0124,1030.901,1000.41,124.87,94.6,2.96,215.92,113.8,8.65,13,13,12,13,56913.040214,167.9928891,0.0366,-60.5961676,0.0437,0.0134,0.11771,0.0141,0.04949,0.0164,93.3,23.1,1300.0,10.0,630.0,30.0,14.745,0.012,15.42,15.503,0.047,5.147,10.22,1N000,0.0,-0.504,99.999,0.241,7.251,207.765988,0.033,-57.131742,0.037,-0.045,0.069,0.0,0.079,0.648,0.0,1.47,12.2,3,3,3,3,-0.027,0.044,-0.046,0.044,,,00,WISEA
