_rs_gaia,_q,_r_gaia,DR3Name_gaia,RA_ICRS_gaia,DE_ICRS_gaia,SolID_gaia,Source_gaia,RandomI_gaia,e_RA_ICRS_gaia,e_DE_ICRS_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,E_BP_RP__gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RV_gaia,e_RV_gaia,n_RV_gaia,o_RV_gaia,o_RVd_gaia,RVNper_gaia,RVS_N_gaia,RVgof_gaia,RVchi2_gaia,RVTdur_gaia,RVamp_gaia,RVtempTeff_gaia,RVtemplogg_gaia,RVtemp_Fe_H__gaia,Vatmparam_gaia,Vbroad_gaia,e_Vbroad_gaia,o_Vbroad_gaia,GRVSmag_gaia,e_GRVSmag_gaia,o_GRVSmag_gaia,RVSS_N_gaia,VarFlag_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,QSO_gaia,Gal_gaia,NSS_gaia,XPcont_gaia,XPsamp_gaia,RVS_gaia,EpochPh_gaia,EpochRV_gaia,MCMCGSP_gaia,MCMCMSC_gaia,And_gaia,PQSO_gaia,PGal_gaia,PSS_gaia,Teff_gaia,b_Teff_gaia,B_Teff_gaia,logg_gaia,b_logg_gaia,B_logg_gaia,__Fe_H__gaia,b__Fe_H__gaia,B__Fe_H__gaia,Dist_gaia,b_Dist_gaia,B_Dist_gaia,A0_gaia,b_A0_gaia,B_A0_gaia,AG_gaia,b_AG_gaia,B_AG_gaia,E_BP-RP__gaia,b_E_BP-RP__gaia,B_E_BP-RP__gaia,Lib_gaia,HIP_gaia,dHIP_gaia,nHIP_gaia,f_HIP_gaia,PS1coid_gaia,PS1_gaia,dPS1_gaia,nPS1_gaia,mPS1_gaia,f_PS1_gaia,SDSS13coid_gaia,SDSS13_gaia,dSDSS13_gaia,nSDSS13_gaia,mSDSS13_gaia,f_SDSS13_gaia,SKYM2_gaia,dSKYM2_gaia,nSKYM2_gaia,mSKYM2_gaia,f_SKYM2_gaia,TYC2_gaia,dTYC2_gaia,f_TYC2_gaia,TYC2moid_gaia,nTYC2_gaia,URAT1_gaia,dURAT1_gaia,f_URAT1_gaia,URAT1oid_gaia,nURAT1_gaia,mURAT1_gaia,AllWISE_gaia,dAllWISE_gaia,f_AllWISE_gaia,AllWISEoid_gaia,nAllWISE_gaia,mAllWISE_gaia,APASS9coid_gaia,APASS9_gaia,dAPASS9_gaia,nAPASS9_gaia,mAPASS9_gaia,f_APASS9_gaia,GSC23_gaia,dGSC23_gaia,f_GSC23_gaia,GSC23coid_gaia,nGSC23_gaia,mGSC23_gaia,RAVE5_gaia,dRAVE5_gaia,f_RAVE5_gaia,RAVE5coid_gaia,nRAVE5_gaia,_2MASS_gaia,d2MASS_gaia,f_2MASS_gaia,_2MASScoid_gaia,n2MASS_gaia,m2MASS_gaia,RAVE6_gaia,dRAVE6_gaia,f_RAVE6_gaia,RAVE6oid_gaia,nRAVE6_gaia,RAJ2000_gaia,DEJ2000_gaia,e_RAJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia
"[0.1380482818218684, 6.890540219488849, 8.321658009954355]",1.0,0.1380482818218684,Gaia DR3 5337639468360878848,167.98079883752,-60.61449514836,1.6361480689213768e+18,5337639468360878848,1808566689.0,0.0183,0.018,0.6777,0.0227,29.7976,7.514,-7.51,0.023,-0.264,0.023,0.1096,-0.336,0.0995,0.1285,0.0409,0.123,0.1926,-0.0295,-0.0676,0.1882,339.0,0.0,339.0,0.0,14.1475,892.4,0.172,20.44,31.0,0.0,1.637,,,,,,,,40.0,26.0,0.035112,45.0,12.0,0.0,0.0209,94.0,0.0,0.0,1.593,0.0851,0.092,0.0998,0.269,-102.029,-49.372,39.991,21.077,0.0,355.0,78824.33673,28.834,2733.7,13.445716,0.002784,37.0,48799.0,28.085,1737.6,13.617519,0.002859,36.0,43571.0,26.86,1622.2,13.149905,0.003838,1.172,0,0,0,0,0.0,0.467614,0.171803,0.295811,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,291.01871068661,-0.06528105207,207.78259978421,-57.14874627942,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999964,8224.3,8200.5,8276.4,4.1503,4.1159,4.1984,-0.2888,-0.2953,-0.2822,1523.8999,1434.9932,1590.6403,0.5851,0.5765,0.6048,0.5341,0.5261,0.5525,0.2857,0.2814,0.2955,PHOENIX,,,,,,,,,,,,,,,,,423100889,0.107213,1,0,8,,,,,,,,,,,,,,,,,,5037515,40524865,0.301654,1,0,8,S4A8014620,0.17422,8,84461806,1,0,,,,,,11115540-6036521,0.015665,8,43139917,1,0,,,,,,167.98086685731,-60.6144939762,0.372045,0.359627,0.1782
"[0.15380523342177005, 5.785076249571117, 6.225034931096593, 7.450608700531641, 7.546458499426931, 8.231723802531548, 8.44870923577517, 8.617415062967, 9.481406767902335]",2.0,0.15380523342177005,Gaia DR3 5337639090360789248,167.97451434436,-60.62773998804,1.6361480689213768e+18,5337639090360789248,822966431.0,0.3659,0.376,-0.1556,0.4499,-0.3459,6.578,-6.346,0.452,1.733,0.45,0.0537,-0.1203,-0.2005,0.0825,0.015,0.144,-0.0982,-0.0169,0.0081,0.1569,342.0,0.0,341.0,1.0,1.5556,429.6,1.676,2.091,95.0,0.0,,1.0496,0.1026,-0.054,-0.209,0.029,-0.176,0.119,39.0,26.0,0.671851,44.0,16.0,0.0,0.0326,78.9,0.0,0.0,1.06,0.154,0.0877,0.112,0.243,-125.741,-66.674,30.061,23.962,0.0,378.0,183.70711,0.87075,210.98,20.027052,0.005837,28.0,36.776,4.0142,9.1615,21.424618,0.118543,37.0,251.57,8.7799,28.653,18.746256,0.038081,1.57,0,1,0,0,0.0,2.678362,1.397566,1.280796,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,291.02081161713,-0.07871671928,207.79615594529,-57.16018617695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.97457184555,-60.62774768923,7.32116,7.243803,0.1428
"[0.262851001517517, 2.688885607582338, 2.880831449320024, 3.6415916775505086, 3.9882607700744397, 4.013507897142305, 8.675720200798324]",3.0,0.262851001517517,Gaia DR3 5337640258634867840,167.97228946418,-60.60558158753,1.6361480689213768e+18,5337640258634867840,1032335354.0,0.062,0.0628,0.3686,0.0765,4.8167,6.159,-5.961,0.077,1.55,0.075,0.1427,-0.2504,-0.1716,0.0492,0.0524,0.0744,-0.0842,0.0563,0.0345,0.2087,368.0,0.0,367.0,1.0,0.6425,396.8,0.0,0.0,31.0,0.0,1.364,,,,,,,,43.0,28.0,0.115979,47.0,16.0,0.0,0.0238,98.5,0.0,0.0,1.023,0.161,0.164,0.0678,0.194,-106.326,-56.099,45.838,25.494,0.0,397.0,1850.7854,2.4918,742.76,17.518976,0.003119,16.0,617.12,15.189,40.628,18.362621,0.026869,15.0,1994.6,20.638,96.644,16.498278,0.011853,1.411,0,1,0,0,0.0,1.864344,0.843645,1.020698,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,291.0115006376,-0.05857988308,207.76545132468,-57.14552927213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999988,3866.8,3846.5,3889.4,4.3347,4.2821,4.3952,-0.4046,-0.4305,-0.3801,971.3345,906.9063,1034.7686,0.6262,0.5869,0.6711,0.4409,0.413,0.473,0.2429,0.228,0.2599,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S4A8014742,1.654389,8,84517838,1,1,,,,,,,,,,,,,,,,,167.97234344147,-60.6055884779,1.245856,1.208621,0.1996
"[0.17820005971449335, 2.520936432324991, 3.3920976580750244, 6.094361977788622, 6.293338678193264, 6.397124252102025, 6.595869527817205, 7.322561015311711]",4.0,0.17820005971449335,Gaia DR3 5337639846317976704,167.95689529601,-60.63106134142,1.6361480689213768e+18,5337639846317976704,965268489.0,0.0857,0.0882,0.6636,0.1108,5.991,6.425,-6.273,0.112,1.392,0.121,0.0922,-0.2186,-0.0425,0.1494,-0.0168,0.146,0.0161,-0.1464,-0.1809,0.3226,335.0,0.0,333.0,2.0,1.1956,393.9,0.278,0.9229,95.0,0.0,,1.3183,0.0231,-0.033,-0.076,0.045,-0.11,0.106,40.0,25.0,0.187353,46.0,13.0,0.0,0.00992,79.6,0.0,0.0,1.046,0.107,0.101,0.128,0.275,-86.133,-58.711,34.117,20.99,0.0,355.0,1279.07178,3.068,416.91,17.92013,0.003791,4.0,474.2,61.093,7.7618,18.64865,0.139909,3.0,1335.1,25.609,52.134,16.934132,0.021166,1.415,0,0,0,0,0.0,1.714518,0.728519,0.985998,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,291.01404382014,-0.08503350955,207.7894494,-57.16869974108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.95695214245,-60.63106752842,1.795902,1.942085,0.3079
"[0.2734817843121325, 4.63326867978183, 5.808627459046593, 7.436078181619872, 9.169559640621893]",5.0,0.2734817843121325,Gaia DR3 5337639502720617600,168.00248933551,-60.62123559536,1.6361480689213768e+18,5337639502720617600,1734622620.0,0.0255,0.0261,0.6369,0.0329,19.34,7.084,-7.031,0.034,0.861,0.032,0.0654,-0.1984,-0.041,-0.0436,0.1575,-0.0209,-0.0199,-0.0272,0.142,0.0618,387.0,0.0,387.0,0.0,-0.6129,380.5,0.0,0.0,31.0,0.0,1.489,,,,,,,,45.0,27.0,0.047661,51.0,15.0,0.0,0.0122,89.7,0.0,0.0,0.977,0.127,0.0643,0.0915,0.258,-114.813,-57.722,37.514,24.629,0.0,408.0,7988.4195,7.7288,1033.6,15.931214,0.002949,42.0,3714.1,18.412,201.72,16.413895,0.006063,42.0,6150.0,18.899,325.42,15.275711,0.005041,1.235,0,42,0,42,0.0,1.138184,0.48268,0.655503,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,291.03110201419,-0.067548682,207.80518177557,-57.14581083797,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999985,5822.3,5761.9,5885.1,4.5356,4.4966,4.5838,-0.6587,-0.7359,-0.5628,1024.303,975.1423,1079.451,0.8482,0.8111,0.8835,0.6965,0.6655,0.7266,0.3794,0.3626,0.3955,MARCS,,,,,,,,,,,,,,,,,423096429,0.081162,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S4A8014495,0.257981,8,84421403,1,0,,,,,,11120060-6037164,0.068612,8,43105731,1,0,,,,,,168.00255303392,-60.62123942282,0.545782,0.516635,0.0647
"[0.24553081909757546, 4.86402334295705, 4.936588042682111, 9.637514144938267]",6.0,0.24553081909757546,Gaia DR3 5337639846317982720,167.9392537419,-60.6191718594,1.6361480689213768e+18,5337639846317982720,397981882.0,0.0424,0.0419,0.667,0.0524,12.7272,7.147,-7.111,0.054,0.715,0.052,0.0895,-0.1671,-0.2252,0.0618,0.0564,0.0832,-0.0413,0.1028,0.0145,0.1566,386.0,0.0,383.0,3.0,0.3064,403.1,0.046,0.09201,31.0,0.0,1.463,,,,,,,,45.0,27.0,0.079608,51.0,16.0,0.0,0.0146,88.5,0.0,0.0,1.01,0.153,0.101,0.102,0.285,-99.955,-51.867,37.691,24.77,0.0,424.0,3318.38115,3.8212,868.41,16.885052,0.003026,41.0,1438.1,9.534,150.84,17.44404,0.00772,41.0,2668.4,10.932,244.09,16.182283,0.005837,1.238,0,0,0,1,0.0,1.261757,0.558989,0.702768,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,291.00156420502,-0.07725510893,207.76259795641,-57.16662670707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999994,5107.8,5057.4,5181.5,4.7102,4.6941,4.7266,-0.9943,-1.1305,-0.8603,962.6592,929.3309,1016.536,0.6242,0.5827,0.68,0.4973,0.4635,0.5428,0.2699,0.2517,0.2943,MARCS,,,,,,,,,,,,,,,,,423104832,0.14694,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S4A8014568,0.194595,8,84433514,1,0,,,,,,11114543-6037089,0.099192,8,43116293,1,0,,,,,,167.93931816288,-60.61917503899,0.876665,0.839078,0.1473
"[0.8655848409659027, 1.3635721451075087, 2.2014571955025706, 2.3564504307949585, 5.179999362011997, 5.221747472017725, 7.905462300227907, 8.063973623106147, 9.094722640029484]",7.0,0.8655848409659027,Gaia DR3 5337639502679834240,168.0044451454,-60.60971384931,1.6361480689213768e+18,5337639502679834240,535730162.0,1.1079,0.7792,-0.4863,1.0041,-0.4843,5.861,-5.75,1.261,1.133,0.951,-0.2567,-0.2224,-0.5537,0.1373,0.3277,0.3448,-0.0215,0.2475,-0.0175,0.0492,169.0,0.0,168.0,1.0,0.9545,189.3,1.986,0.8195,95.0,0.0,,0.9853,0.2414,0.058,-0.21,-0.142,-0.35,0.047,19.0,16.0,1.91517,23.0,7.0,0.0,0.0279,52.5,0.0,4.0,1.051,0.0851,0.17,0.293,0.181,-106.529,6.626,19.397,27.12,0.0,192.0,107.13362,1.1764,91.066,20.612553,0.012237,5.0,13.464,1.21,11.127,22.515633,0.097619,8.0,248.48,13.421,18.514,18.75967,0.058766,2.445,0,5,0,8,0.0,3.755962,1.90308,1.852882,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,291.02768173224,-0.05650453182,207.79118582665,-57.13709265526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.00449722338,-60.6097188854,20.815282,15.252908,0.0225
"[0.43941294576218276, 3.61047947383671, 6.743789521402989, 7.19242337158843, 7.3422020417724125, 9.038927679080025, 9.903956379449754]",8.0,0.43941294576218276,Gaia DR3 5337639537080370432,168.01554320343,-60.61000275361,1.6361480689213768e+18,5337639537080370432,419395417.0,0.0213,0.0216,0.462,0.0271,17.0285,6.338,-6.149,0.028,1.538,0.026,0.0636,-0.2336,-0.0638,0.0041,0.1129,0.0425,0.0152,0.0807,0.1042,0.1126,396.0,0.0,395.0,1.0,22.1895,1479.0,0.251,38.08,31.0,0.0,1.643,,,,,,,,46.0,28.0,0.039994,52.0,16.0,0.0,0.00898,124.0,0.0,0.0,1.891,0.139,0.0916,0.0925,0.25,-102.508,-56.227,40.615,26.166,0.0,417.0,58584.829,27.135,2159.1,13.767904,0.002801,44.0,36907.0,26.991,1367.4,13.920761,0.002901,46.0,32425.0,24.821,1306.3,13.470708,0.00387,1.183,0,0,0,0,0.0,0.450053,0.152857,0.297196,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,291.03284093628,-0.05473548207,207.79856351947,-57.13338882241,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999974,7492.0,7427.5,7638.2,3.7568,3.7297,3.7982,-1.4943,-1.5415,-1.428,2372.956,2289.4175,2439.7004,0.2642,0.2328,0.3251,0.239,0.2104,0.295,0.1286,0.1133,0.1584,MARCS,,,,,,,,,,,,,,,,,423091723,0.124123,1,0,8,,,,,,,,,,,,,,,,,,5039358,40524869,0.627392,1,1,8,S4A8014664,0.187138,8,84488851,1,0,,,,,,11120374-6036360,0.050765,8,43162611,1,0,,,,,,168.01559888848,-60.61000958706,0.449464,0.421732,0.1098
"[0.2150277295000338, 2.8255492146470864, 3.019041556505522, 3.398704771602001, 3.4802537279768666, 6.1518475245617275, 6.388031509066719, 7.799348415324486, 8.359528026293924, 9.230320906878603, 9.833898958454606]",9.0,0.2150277295000338,Gaia DR3 5337639433958299392,168.02001070521,-60.6186339006,1.6361480689213768e+18,5337639433958299392,1175436962.0,0.0423,0.0418,0.5751,0.0522,11.0215,7.14,-7.124,0.054,0.478,0.051,0.064,-0.1302,-0.22,0.0324,0.0982,0.0598,-0.1114,0.0761,0.0583,0.1653,380.0,0.0,380.0,0.0,1.2985,429.3,0.0,0.0,31.0,0.0,1.47,,,,,,,,44.0,28.0,0.07851,48.0,17.0,0.0,0.00837,115.0,0.0,0.0,1.047,0.111,0.0612,0.0677,0.262,-118.285,-47.182,40.279,26.375,0.0,401.0,3316.84079,3.1202,1063.0,16.885555,0.002939,47.0,1476.4,9.7962,150.71,17.41551,0.007725,47.0,2669.9,8.3345,320.34,16.18167,0.005077,1.25,0,0,0,0,0.0,1.233841,0.529955,0.703886,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,291.03810123252,-0.0619209877,207.81278431266,-57.13783301845,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999972,5079.4,5039.4,5137.6,4.6598,4.6435,4.6772,-0.758,-0.8332,-0.6776,1040.6448,1007.05,1083.9474,0.556,0.5209,0.5993,0.4424,0.414,0.4778,0.2389,0.2237,0.2582,MARCS,,,,,,,,,,,,,,,,,423096416,0.884824,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S4A8014524,0.74125,8,84435672,1,0,,,,,,,,,,,,,,,,,168.02007523756,-60.61863602453,0.866726,0.816077,0.1578
"[0.4899092437363043, 8.901205369072203]",10.0,0.4899092437363043,Gaia DR3 5337639601460706176,167.99379979176,-60.59589187081,1.6361480689213768e+18,5337639601460706176,1613613946.0,0.0416,0.0408,0.4891,0.051,9.5869,6.309,-6.038,0.053,1.829,0.05,0.1002,-0.2619,-0.2827,0.0043,-0.0065,0.0529,-0.1468,0.1414,0.1236,0.1887,368.0,0.0,367.0,1.0,0.6745,397.0,0.102,0.5303,31.0,0.0,1.44,,,,,,,,43.0,27.0,0.079181,47.0,16.0,0.0,0.00996,106.0,0.0,0.0,1.024,0.132,0.111,0.0434,0.234,-107.058,-55.213,38.93,28.416,0.0,389.0,3727.0017,5.0525,737.66,16.758968,0.003124,37.0,1524.8,13.119,116.23,17.380487,0.009749,38.0,3165.1,15.732,201.19,15.996933,0.006588,1.258,0,1,0,1,0.0,1.383555,0.621519,0.762035,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,291.01766427598,-0.04564163889,207.76621204133,-57.13120383368,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999995,5515.5,5436.4,5570.7,4.6072,4.5799,4.6329,-0.8824,-0.9798,-0.7944,1025.0529,971.1073,1077.4557,1.2159,1.165,1.2542,0.967,0.9246,0.9991,0.5262,0.5028,0.5437,PHOENIX,,,,,,,,,,,,,,,,,423100852,0.116737,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S4A8014838,0.243515,8,84573680,1,0,,,,,,,,,,,,,,,,,167.99385445059,-60.59589999763,0.862075,0.810327,0.1817
