_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[0.241, 6.412]",1.0,0.241,1680m606o0021378,167.9807731,-60.6144671,975.468,975.404,1037.662,1037.701,9558.8,9528.1,0.003,0.008,0.003,0.008,21.323,47.737,1.0,1.0,66.88,9.981,0.6873,0.6675,9655.3,9430.1,21.752,48.927,2.6447,2.8614,7.52211e-05,0.000775397,9.91248e-05,0.000213,-61.898,-10.773,167.9807731,167.9807118,-60.6144671,-60.6145161,1680m606,1680m606w1o0022967,1680m606w2o0017957,212.0,212.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[7.328, 8.908]",2.0,7.328,1680m606o0020978,167.9772593,-60.626242,960.053,960.249,1039.913,1040.113,780040.0,666400.0,0.001,0.001,0.001,0.0,484.93,257.21,0.12748,1.0,745.2,161.9,0.7522,0.9947,795520.0,665330.0,613.19,262.58,2.6389,2.8586,0.00157487,0.000310719,2.27267e-05,2.2e-05,-63.768,-13.596,167.9772593,167.9769473,-60.626242,-60.6260924,1680m606,1680m606w1o0022560,1680m606w2o0017617,73.0,214.0,1.0,1.0,97.0,33.0,24.0,8.0,1.0
"[2.146, 5.181, 8.624]",3.0,2.146,1680m606o0114992,167.9734243,-60.6052868,987.484,987.288,1042.388,1043.179,4999.2,6696.5,0.008,0.015,0.007,0.014,21.869,53.703,0.97618,0.97093,480.5,51.7,0.2818,0.2901,4917.9,6395.8,22.278,54.909,2.6456,2.8594,0.0081625,0.00490266,0.000167828,0.000314,-50.077,8.4232,167.9734243,167.9721923,-60.6052868,-60.6054368,1680m606,1680m606w1o0135744,1680m606w2o0071100,214.0,211.0,1.0,1.0,34.0,34.0,0.0,0.0,1.0
"[0.823, 5.621, 8.313]",4.0,0.823,1680m606o0078109,167.9570809,-60.6308794,953.975,953.956,1052.866,1052.956,6759.1,8797.5,0.005,0.01,0.005,0.01,21.055,51.029,1.0,1.0,131.3,31.63,0.4239,0.4553,6633.4,8596.3,21.422,52.124,2.6393,2.8569,0.0044738,0.00401384,0.000125598,0.000237,-42.485,7.5397,167.9570809,167.9569401,-60.6308794,-60.6308941,1680m606,1680m606w1o0087481,1680m606w2o0110345,219.0,213.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.48],5.0,0.48,1680m606o0114747,168.0023545,-60.6212592,966.579,966.583,1023.799,1023.582,2281.8,2711.3,0.012,0.027,0.013,0.027,17.245,40.188,1.0,1.0,544.9,33.56,0.1447,0.1676,2410.9,2700.4,17.563,41.136,2.6427,2.8626,-0.0136167,-0.00095427,0.000308522,0.000565,-102.29,-63.023,168.0023545,168.0026929,-60.6212592,-60.6212559,1680m606,1680m606w1o0135371,1680m606w2o0110566,214.0,209.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
"[1.027, 9.578, 9.948]",6.0,1.027,1680m606o0078472,167.9396214,-60.6194755,968.895,968.957,1064.089,1064.057,1569.3,1518.4,0.014,0.039,0.013,0.039,12.782,32.435,1.0,1.0,115.6,12.72,0.5202,0.4815,1593.3,1539.0,13.083,33.347,2.6392,2.857,0.000618637,0.000451148,0.000311702,0.000829,-40.804,4.2886,167.9396214,167.939671,-60.6194755,-60.6194276,1680m606,1680m606w1o0087908,1680m606w2o0070615,219.0,221.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[2.938],7.0,2.938,1680m606o0114916,168.0059757,-60.6103292,980.888,981.002,1021.473,1021.377,2474.5,2251.7,0.009,0.026,0.009,0.025,13.14,31.964,1.0,1.0,144.4,26.04,0.6204,0.6223,2584.0,2442.3,13.445,32.885,2.6438,2.8595,0.00564426,0.0042246,0.000209973,0.000563,-99.713,-73.461,168.0059757,168.0061249,-60.6103292,-60.6102419,1680m606,1680m606w1o0135624,1680m606w2o0070957,217.0,211.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.447],8.0,0.447,1680m606o0021524,168.0155898,-60.610072,981.223,981.242,1015.296,1015.254,7367.9,6382.6,0.003,0.01,0.003,0.01,17.54,39.316,1.0,1.0,67.18,22.9,0.8895,0.8717,7398.6,6556.2,17.919,40.356,2.6427,2.8598,-0.00210416,-0.00600368,0.000113393,0.000272,-99.381,-77.668,168.0155898,168.0156548,-60.610072,-60.6100579,1680m606,1680m606w1o0023114,1680m606w2o0018080,214.0,199.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0
"[2.866, 6.198]",9.0,2.866,1680m606o0021211,168.0201713,-60.6194853,968.9,968.884,1012.356,1012.344,23365.0,22374.0,0.002,0.004,0.002,0.004,27.666,58.224,1.0,1.0,284.8,41.02,0.9084,0.9041,23320.0,22428.0,28.145,59.455,2.6427,2.8595,0.00298965,0.00200176,6.07265e-05,0.000122,-98.43,-72.494,168.0201713,168.0201907,-60.6194853,-60.6194974,1680m606,1680m606w1o0022798,1680m606w2o0017818,219.0,214.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[2.127],10.0,2.127,1680m606o0130585,167.9929449,-60.5962015,999.381,999.125,1029.847,1029.782,1227.8,945.82,0.019,0.066,0.017,0.059,12.839,31.948,1.0,1.0,217.6,29.67,0.2895,0.2087,1401.6,1131.1,13.158,32.883,2.6419,2.8585,-0.0087744,-0.012906,0.000410663,0.001375,-80.809,-53.144,167.9929449,167.9930457,-60.5962015,-60.5963976,1680m606,1680m606w1o0162302,1680m606w2o0150972,219.0,213.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[1.89],11.0,1.89,1680m606o0078970,168.0148951,-60.6047722,988.161,988.537,1015.741,1015.382,1180.7,983.04,0.017,0.057,0.016,0.056,12.061,30.959,1.0,1.0,64.95,23.23,0.3802,0.2942,1259.9,1156.7,12.351,31.84,2.6417,2.8625,-0.00781548,-0.0122612,0.000403082,0.001276,-97.602,-78.637,168.0148951,168.0154547,-60.6047722,-60.6044852,1680m606,1680m606w1o0088478,1680m606w2o0110879,215.0,203.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
