name,ra,dec,source_id,solution_id,source_id_2,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,classprob_dsc_combmod_whitedwarf,classprob_dsc_combmod_binarystar,classprob_dsc_specmod_quasar,classprob_dsc_specmod_galaxy,classprob_dsc_specmod_star,classprob_dsc_specmod_whitedwarf,classprob_dsc_specmod_binarystar,classprob_dsc_allosmod_quasar,classprob_dsc_allosmod_galaxy,classprob_dsc_allosmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,abp_gspphot,abp_gspphot_lower,abp_gspphot_upper,arp_gspphot,arp_gspphot_lower,arp_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,logposterior_gspphot,mcmcaccept_gspphot,libname_gspphot,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,mh_gspspec,mh_gspspec_lower,mh_gspspec_upper,alphafe_gspspec,alphafe_gspspec_lower,alphafe_gspspec_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,fem_gspspec_nlines,fem_gspspec_linescatter,sife_gspspec,sife_gspspec_lower,sife_gspspec_upper,sife_gspspec_nlines,sife_gspspec_linescatter,cafe_gspspec,cafe_gspspec_lower,cafe_gspspec_upper,cafe_gspspec_nlines,cafe_gspspec_linescatter,tife_gspspec,tife_gspspec_lower,tife_gspspec_upper,tife_gspspec_nlines,tife_gspspec_linescatter,mgfe_gspspec,mgfe_gspspec_lower,mgfe_gspspec_upper,mgfe_gspspec_nlines,mgfe_gspspec_linescatter,ndfe_gspspec,ndfe_gspspec_lower,ndfe_gspspec_upper,ndfe_gspspec_nlines,ndfe_gspspec_linescatter,feiim_gspspec,feiim_gspspec_lower,feiim_gspspec_upper,feiim_gspspec_nlines,feiim_gspspec_linescatter,sfe_gspspec,sfe_gspspec_lower,sfe_gspspec_upper,sfe_gspspec_nlines,sfe_gspspec_linescatter,zrfe_gspspec,zrfe_gspspec_lower,zrfe_gspspec_upper,zrfe_gspspec_nlines,zrfe_gspspec_linescatter,nfe_gspspec,nfe_gspspec_lower,nfe_gspspec_upper,nfe_gspspec_nlines,nfe_gspspec_linescatter,crfe_gspspec,crfe_gspspec_lower,crfe_gspspec_upper,crfe_gspspec_nlines,crfe_gspspec_linescatter,cefe_gspspec,cefe_gspspec_lower,cefe_gspspec_upper,cefe_gspspec_nlines,cefe_gspspec_linescatter,nife_gspspec,nife_gspspec_lower,nife_gspspec_upper,nife_gspspec_nlines,nife_gspspec_linescatter,cn0ew_gspspec,cn0ew_gspspec_uncertainty,cn0_gspspec_centralline,cn0_gspspec_width,dib_gspspec_lambda,dib_gspspec_lambda_uncertainty,dibew_gspspec,dibew_gspspec_uncertainty,dibewnoise_gspspec_uncertainty,dibp0_gspspec,dibp2_gspspec,dibp2_gspspec_uncertainty,dibqf_gspspec,flags_gspspec,logchisq_gspspec,ew_espels_halpha,ew_espels_halpha_uncertainty,ew_espels_halpha_flag,ew_espels_halpha_model,classlabel_espels,classlabel_espels_flag,classprob_espels_wcstar,classprob_espels_wnstar,classprob_espels_bestar,classprob_espels_ttauristar,classprob_espels_herbigstar,classprob_espels_dmestar,classprob_espels_pne,azero_esphs,azero_esphs_uncertainty,ag_esphs,ag_esphs_uncertainty,ebpminrp_esphs,ebpminrp_esphs_uncertainty,teff_esphs,teff_esphs_uncertainty,logg_esphs,logg_esphs_uncertainty,vsini_esphs,vsini_esphs_uncertainty,flags_esphs,spectraltype_esphs,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,teff_espucd,teff_espucd_uncertainty,flags_espucd,radius_flame,radius_flame_lower,radius_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,mass_flame,mass_flame_lower,mass_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame,evolstage_flame,gravredshift_flame,gravredshift_flame_lower,gravredshift_flame_upper,bc_flame,mh_msc,mh_msc_upper,mh_msc_lower,azero_msc,azero_msc_upper,azero_msc_lower,distance_msc,distance_msc_upper,distance_msc_lower,teff_msc1,teff_msc1_upper,teff_msc1_lower,teff_msc2,teff_msc2_upper,teff_msc2_lower,logg_msc1,logg_msc1_upper,logg_msc1_lower,logg_msc2,logg_msc2_upper,logg_msc2_lower,ag_msc,ag_msc_upper,ag_msc_lower,logposterior_msc,mcmcaccept_msc,mcmcdrift_msc,flags_msc,neuron_oa_id,neuron_oa_dist,neuron_oa_dist_percentile_rank,flags_oa,source_id_3,rgeo_gaiadist,b_rgeo_gaiadist,B_rgeo_gaiadist,rpgeo_gaiadist,b_rpgeo_gaiadist,B_rpgeo_gaiadist,flag,ph_qual,tmass_oid,_2MASS_2mass,RAJ2000_2mass,DEJ2000_2mass,err_maj,err_min,err_ang,Jmag_2mass,e_Jmag_2mass,Hmag_2mass,e_Hmag_2mass,Kmag_2mass,e_Kmag_2mass,ext_key,j_date,allwise_oid,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,ra_error,dec_error,radec_co_error,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,cc_flags,ext_flag,var_flag,ph_qual_2,w1mjd_mean,w2mjd_mean,w3mjd_mean,w4mjd_mean,w1gmag,w1gmag_error,w2gmag,w2gmag_error,w3gmag,w3gmag_error,w4gmag,w4gmag_error,tmass_key
2CXO J111155.3-603652,167.98079166666665,-60.61453333333333,5337639468360878848,1636148068921376768,5337639468360879104,1.0238305e-13,5.113982e-13,0.9999644,2.124958e-09,3.56064e-05,0.0,0.0,0.9964413,1.0563753e-05,0.0035481858,0.0,0.0,1.0,8224.34,8200.526,8276.367,4.1503,4.1159,4.1984,-0.2888,-0.2953,-0.2822,1523.8999,1434.9932,1590.6403,0.5851,0.5765,0.6048,0.5341,0.5261,0.5525,0.642,0.6325,0.6638,0.3563,0.351,0.3684,0.2857,0.2814,0.2955,1.9025,1.8148,2.0442,1.79,1.6854,1.872,-4361.1196,0.40730408,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551596,0.023922315,0,0.473379,,,,,,,,,,,,,,,,,,,,,,92,A,,,,,,,1.5895696,1.5463511,1.654363,14.467882,13.934936,15.495615,1.9197326,1.8779763,1.9657586,,,,00,123,0.37121615,0.37049583,0.3720313,-0.07120317,-0.5376664,0.5,-1.0,0.89883995,3.6411734,0.0,2688.8203,9171.918,81.01514,7415.4736,7796.0596,6267.6904,6946.673,8000.0,6007.991,3.9753418,4.4946175,2.0,3.9834654,5.2,2.0,0.7705562,3.1341605,0.0,-267.24634,0.11976133,0.0029146182,0,,,,,5337639468360879104,1412.154,1366.4338,1459.2205,1400.0892,1366.497,1446.5677,10033,AAA,43134152,11115540-6036521,167.98087,-60.614498,0.06,0.06,0,12.74,0.026,12.587,0.033,12.582,0.033,,2451566.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111153.8-603740,167.97454166666665,-60.62778055555555,5337639090360789248,1636148068921376768,5337639090360788992,3.36847e-11,5.102359e-13,0.9999892,7.261623e-11,1.077596e-05,2.240133e-06,0.0,0.99892086,3.5222723e-07,0.0010764651,4.6576725e-09,1.8505737e-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5337639090360788992,5077.532,3635.615,7200.2334,5621.7266,4502.2607,7120.95,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111153.3-603620,167.97241666666667,-60.60561944444444,5337640258634867840,1636148068921376768,5337640258634867712,1.024192e-13,5.250704e-13,0.99998844,2.0048637e-12,1.1554742e-05,0.0,0.0,0.9988458,0.0,0.0011541765,2.7428892e-11,2.9187858e-10,1.0,3866.7542,3846.5369,3889.4492,4.3347,4.2821,4.3952,-0.4046,-0.4305,-0.3801,971.3345,906.9063,1034.7686,0.6262,0.5869,0.6711,0.4409,0.413,0.473,0.6003,0.5629,0.6432,0.3575,0.3347,0.3833,0.2429,0.228,0.2599,7.1309,6.9843,7.2815,0.9168,0.8495,0.9783,-593.2234,0.49495298,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387582,0.24552096,1,-0.401015,,,,,,,,,,,,,,,,,,,,,,999,unknown,,,,,,,0.9925594,0.95423913,1.0491076,0.19711056,0.18409206,0.21814078,,,,,,,21,308,0.43195063,0.41285792,0.45274112,-0.48061323,0.37856928,0.46773842,0.29087743,0.047101352,0.43069258,0.0,1341.8871,1901.1718,643.68884,3693.6938,3988.9429,3000.0,3115.942,4908.366,3000.0,4.5177813,4.5708485,4.4300957,4.762327,5.2,4.2950315,0.030956665,0.27138028,0.0,-3.88562,0.25205252,0.17088161,0,,,,,5337640258634867712,2791.058,2324.6533,3236.878,2680.8572,2290.4604,3244.9502,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111149.6-603751,167.9569583333333,-60.6311,5337639846317976704,1636148068921376768,5337639846317976576,1.5919915e-10,3.5030556e-09,0.99999624,2.003376e-12,3.7366829e-06,1.0516364e-05,2.048012e-05,0.99959546,0.0,0.00037351908,4.8181183e-09,2.3535291e-08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36858055,0.5,0.022106498,0.13660723,1.0975587,0.0,1109.3323,2172.677,497.1753,3656.269,4817.348,3000.0,3417.8564,5513.8403,3000.0,4.71463,5.2,4.3334465,4.75674,5.2,4.0288815,0.09078586,0.71095777,0.0,-209.4285,0.26198092,0.02265506,0,,,,,5337639846317976576,1556.6879,1283.1681,1873.2725,1567.2942,1374.7327,1982.5277,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111200.6-603716,168.00262499999997,-60.621272222222224,5337639502720617600,1636148068921376768,5337639502720617472,1.0217283e-13,5.3017036e-13,0.9999851,2.005527e-12,1.48995e-05,0.0,0.0,0.9985122,0.0,0.0014877875,3.2326245e-17,3.884066e-10,1.0,5822.341,5761.904,5885.14,4.5356,4.4966,4.5838,-0.6587,-0.7359,-0.5628,1024.303,975.1423,1079.451,0.8482,0.8111,0.8835,0.6965,0.6655,0.7266,0.8847,0.8459,0.9221,0.5053,0.4831,0.5266,0.3794,0.3626,0.3955,5.1806,5.038,5.2985,0.7863,0.7484,0.822,-454.4618,0.4295298,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10715787,0.058147147,0,0.123377,,,,,,,,,,,,,,,,,,,,,,95,F,,,,,,,1.1411399,1.0954378,1.1966736,1.3345588,1.2282184,1.457893,0.9943692,0.9511429,1.0382242,8.048565,6.672408,9.7414665,00,341,0.5832851,0.57126963,0.597485,0.044070873,-0.4559504,-0.13868234,-0.80246675,0.037919156,0.49045318,0.0,1082.6473,1278.7789,974.6664,5072.0166,5178.379,4928.4033,4094.7979,4696.043,3360.2666,4.5852547,4.720276,4.310773,4.621887,5.2,3.2718372,0.030020708,0.38308674,0.0,231.24736,0.24286397,0.17848176,0,,,,,5337639502720617472,1492.7719,1433.598,1580.5938,1491.3862,1422.0073,1574.1234,10033,AAA,43099951,11120060-6037164,168.002515,-60.621235,0.06,0.06,0,14.532,0.034,14.006,0.022,13.999,0.049,,2451566.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111145.4-603709,167.9393333333333,-60.61922777777778,5337639846317982720,1636148068921376768,5337639846317982720,1.02086586e-13,7.8158154e-11,0.99999416,2.0037312e-12,5.830545e-06,0.0,1.2124211e-06,0.9994161,0.0,0.00058272394,5.1322477e-13,2.5393763e-09,1.0,5107.844,5057.408,5181.501,4.7102,4.6941,4.7266,-0.9943,-1.1305,-0.8603,962.6592,929.3309,1016.536,0.6242,0.5827,0.68,0.4973,0.4635,0.5428,0.6394,0.5964,0.6972,0.3694,0.3447,0.4027,0.2699,0.2517,0.2943,6.4646,6.3024,6.5673,0.5811,0.5646,0.6046,-333.3096,0.4561442,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023204416,0.09777907,0,0.063875,,,,,,,,,,,,,,,,,,,,,,95,G,,,,,,,0.8693134,0.81161875,0.931599,0.45691192,0.40074375,0.51941717,0.8278505,0.7776064,0.8747893,9.615345,3.5859146,13.350994,00,315,0.690076,0.66697496,0.7076436,-0.024960242,0.16408315,0.5,-0.2883518,1.670143,3.7280102,0.20123065,1909.6824,2347.142,1020.0193,5003.327,6322.1504,4024.3916,4813.8193,6151.3535,3000.0,4.4096937,5.2,3.3653917,4.5817413,5.2,3.9664688,1.2472185,2.7453146,0.20038927,213.09206,0.17300716,0.00976296,0,,,,,5337639846317982720,1451.0546,1345.2665,1580.8822,1494.5234,1397.6151,1616.1973,10033,AAB,43110524,11114543-6037089,167.939307,-60.619148,0.07,0.07,0,15.398,0.07,14.75,0.066,14.812,0.12,,2451566.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111201.0-603635,168.00449999999995,-60.60995277777778,5337639502679834240,1636148068921376768,5337639502679834624,1.7470816e-10,5.2907345e-10,0.99999446,2.0037266e-12,5.563752e-06,1.4904309e-05,1.0366227e-05,0.9994187,0.0,0.0005560606,1.4753168e-09,9.369524e-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5337639502679834624,4332.2383,2889.6975,6131.9844,10166.733,8758.042,11470.14,20033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111203.7-603635,168.01579166666664,-60.60999722222223,5337639537080370432,1636148068921376768,5337639537080370176,2.3993166e-10,5.109545e-13,0.9999742,1.7766622e-08,2.5784226e-05,2.3445054e-05,0.0,0.99731636,8.847316e-05,0.0025716322,0.0,0.0,1.0,7491.984,7427.4966,7638.163,3.7568,3.7297,3.7982,-1.4943,-1.5415,-1.428,2372.956,2289.4175,2439.7004,0.2642,0.2328,0.3251,0.239,0.2104,0.295,0.2892,0.2548,0.3562,0.1606,0.1415,0.1978,0.1286,0.1133,0.1584,1.647,1.6173,1.669,2.447,2.3347,2.5254,-10592.539,0.2854232,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41778588,0.021868462,0,0.329787,,,,,,,,,,1.1194836,0.017692188,1.0531752,0.01586263,0.56582284,0.008608769,11928.296,134.93663,4.3696356,0.11328141,,,11,B,,,,,,,1.7352804,1.6464372,1.8467221,38.025528,34.441227,42.666737,2.4900372,2.4423382,2.5547085,,,,00,111,0.42561737,0.42458722,0.42630544,-0.469554,-0.6074711,-0.29897594,-0.8226141,0.32455105,0.59687006,0.0,3065.2378,5131.595,2803.9048,7395.5586,8000.0,6861.3936,5883.515,6089.526,4318.6763,3.8943796,4.5210247,3.6854224,3.7269678,4.0307035,2.9544678,0.28471485,0.5082513,0.0,-1582.9062,0.15930788,0.021484576,1,,,,,5337639537080370176,2045.4242,1933.9379,2144.6685,2006.192,1904.1505,2112.5889,10033,AAA,43156844,11120374-6036360,168.015618,-60.61002,0.06,0.06,0,13.071,0.023,12.957,0.022,12.852,0.024,,2451566.8221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111204.8-603707,168.02004166666666,-60.61869166666667,5337639433958299392,1636148068921376768,5337639433958299648,1.0231585e-13,6.1645215e-13,0.9999715,1.9714932e-10,2.8485347e-05,0.0,0.0,0.9971584,9.717105e-07,0.0028405916,5.570878e-13,2.0628386e-09,1.0,5079.428,5039.4487,5137.635,4.6598,4.6435,4.6772,-0.758,-0.8332,-0.6776,1040.6448,1007.05,1083.9474,0.556,0.5209,0.5993,0.4424,0.414,0.4778,0.5682,0.532,0.6131,0.3292,0.3083,0.3551,0.2389,0.2237,0.2582,6.3504,6.2268,6.4426,0.6193,0.6034,0.6379,-240.6908,0.46219435,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09296161,0.092323124,0,0.057851,,,,,,,,,,,,,,,,,,,,,,93,K,,,,,,,0.9711608,0.9087521,1.1198975,0.5573562,0.48928016,0.72661626,,,,,,,20,350,0.65291345,0.64284074,0.66922784,-0.024349947,-0.2754221,0.5,-1.0,0.72714716,3.0667696,0.1484707,1579.7069,1948.7743,1327.0763,5006.3677,5544.903,3897.2466,4165.379,5278.6113,3469.3022,4.697568,5.2,3.9681263,4.7225423,5.2,4.0039344,0.55832577,2.3196068,0.105909824,296.53168,0.16747017,0.013525019,0,,,,,5337639433958299648,1761.4781,1598.0132,2058.9382,1736.3634,1616.193,1897.3844,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J111158.5-603545,167.99404166666665,-60.595958333333336,5337639601460706176,1636148068921376768,5337639601460706304,1.02079464e-13,7.475666e-11,0.99999464,2.0036362e-12,5.3514977e-06,0.0,1.198462e-06,0.999464,0.0,0.00053487095,2.9006225e-13,2.132771e-09,1.0,5515.5166,5436.443,5570.6987,4.6072,4.5799,4.6329,-0.8824,-0.9798,-0.7944,1025.0529,971.1073,1077.4557,1.2159,1.165,1.2542,0.967,0.9246,0.9991,1.2452,1.1916,1.2858,0.7192,0.6887,0.7421,0.5262,0.5028,0.5437,5.7483,5.6148,5.9084,0.6778,0.6493,0.7072,-517.8681,0.4979624,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027507316,0.09640883,0,0.083131,,,,,,,,,,,,,,,,,,,,,,999,unknown,,,,,,,1.3301647,1.2290126,1.4690567,1.2311504,1.0554444,1.5456161,0.946082,0.9041342,1.0255754,11.675753,8.036358,13.5,00,372,0.64231724,0.63540924,0.65203166,0.0058551654,-0.24502832,0.07123944,-0.75890857,0.9828149,1.2441026,0.49760032,1318.88,1427.9889,1195.9894,4717.746,4799.7236,4517.7217,4180.169,4704.915,3186.087,4.406083,4.614628,4.231003,4.8366103,5.2,3.723701,0.7362095,0.9441761,0.41236317,176.95175,0.2292124,0.07654592,0,,,,,5337639601460706304,2031.7362,1847.2491,2306.9775,1934.8138,1758.9409,2144.155,10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
