CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref,HESS_name
2CXO J191416.6+094905,288.5692284,9.8181154,1.61,5.14,8e-18,6e-18,1.5e-15,7e-16,5e-14,1e-14,5e-14,1e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.002,0.04,0.002,0.0,0.1,0.4,0.03,0.3,0.006,0.05,0.005,0.0,0.2,0.3,0.03,AGN,0.4,0.3,0.081,,,,,J1912+101
2CXO J191411.4+095237,288.5478204,9.8770076,0.85,5.14,4e-16,3e-16,1.6e-15,7e-16,2.8e-14,6e-15,3e-14,6e-15,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.01,0.02,0.0,0.0,0.1,0.8,0.01,0.1,0.04,0.04,0.002,0.003,0.2,0.2,0.01,NS,0.8,0.2,1.736,,,,,J1912+101
2CXO J191355.5+094615,288.4812998,9.7709925,1.49,6.03,5e-15,1e-15,5e-15,1e-15,1.4e-14,5e-15,2.3e-14,5e-15,0.421,,12.299,0.003,13.22,0.007,11.253,0.005,9.79,0.02,9.12,0.02,8.94,0.02,8.72,0.02,8.76,0.02,8.75,0.06,0.8,0.01,4.547,1250.0,1228.0,1271.0,0.0,0.05,0.4,0.03,0.3,0.004,0.0,0.2,0.0005,0.05,0.1,0.04,0.1,0.009,0.001,0.1,HM-STAR,0.4,0.1,0.417,,,,,J1912+101
2CXO J191408.5+095504,288.5354505,9.9179315,0.75,8.75,1.3e-14,2e-15,5e-15,1e-15,1e-15,1e-15,2e-14,2e-15,0.817,,13.118,0.003,13.566,0.003,12.5,0.004,11.69,0.02,11.39,0.02,11.33,0.03,11.14,0.03,11.29,0.03,11.97,,2.16,0.02,3.776,455.0,451.0,459.0,0.0,0.004,0.2,0.002,0.8,0.01,0.0,0.06,0.0,0.01,0.1,0.004,0.1,0.01,0.001,0.05,LM-STAR,0.8,0.1,2.616,,,,,J1912+101
2CXO J191417.8+100116,288.5741823,10.0212735,2.07,5.09,7e-15,2e-15,7e-15,2e-15,8e-15,5e-15,2.1e-14,5e-15,0.883,,14.745,0.004,15.843,0.009,13.703,0.008,12.2,0.02,11.45,0.03,11.23,0.03,10.96,0.03,11.07,0.03,10.2,0.1,0.72,0.03,7.338,1315.0,1272.0,1360.0,0.0001,0.06,0.09,0.03,0.12,0.01,0.0,0.7,0.0009,0.05,0.06,0.04,0.08,0.01,0.002,0.1,YSO,0.7,0.1,2.745,,,,,J1912+101
2CXO J191348.6+095235,288.4528694,9.876399,0.88,4.11,3.2e-15,9e-16,4e-16,3e-16,8e-16,8e-16,4e-15,1e-15,0.555,,17.25,0.005,18.15,0.02,15.658,0.007,14.05,0.03,13.31,0.03,13.09,0.04,12.992,0.004,12.93,0.008,,,0.3,0.4,8.231,3304.0,1978.0,4615.0,0.0,0.06,0.18,0.03,0.14,0.02,0.002,0.6,0.0006,0.06,0.09,0.03,0.08,0.02,0.007,0.1,YSO,0.6,0.1,1.686,,,,,J1912+101
2CXO J191346.8+095635,288.445344,9.9432048,1.73,3.17,2.2e-15,1e-15,1.7e-15,9e-16,2e-15,2e-15,6e-15,2e-15,0.857,,18.03,0.003,19.53,0.06,16.824,0.008,,,,,,,13.252,0.005,12.983,0.009,,,2.7,0.2,15.626,381.0,362.0,408.0,0.005,0.13,0.14,0.01,0.05,0.22,0.04,0.42,0.009,0.06,0.09,0.01,0.03,0.09,0.04,0.08,YSO,0.42,0.08,1.177,,,,,J1912+101
2CXO J191342.2+095601,288.426126,9.9336142,1.28,5.03,8e-18,6e-18,6e-16,5e-16,3.7e-14,8e-15,3.7e-14,8e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,0.03,0.001,0.0,0.1,0.2,0.02,0.3,0.003,0.05,0.004,0.0007,0.1,0.3,0.03,AGN,0.6,0.3,0.667,,,,,J1912+101
2CXO J191347.3+095852,288.4472704,9.9812657,1.95,3.88,1.2e-15,1e-15,4e-16,3e-16,2.8e-14,8e-15,3e-14,8e-15,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.01,0.001,0.001,0.3,0.7,0.02,0.1,0.05,0.03,0.004,0.009,0.2,0.2,0.02,NS,0.7,0.2,0.933,,,,,J1912+101
2CXO J191351.1+101153,288.4631559,10.198096,2.42,5.5,1e-15,1e-15,7e-16,7e-16,7e-14,1e-14,7e-14,1e-14,0.154,,,,,,,,,,,,,,17.72,,14.35,0.08,,,,,,,,,0.1,0.01,0.01,0.01,0.002,0.2,0.6,0.06,0.1,0.02,0.02,0.01,0.005,0.1,0.2,0.04,NS,0.6,0.2,1.124,,,,,J1912+101
