P_median_AGN,P_median_CV,P_median_HM-STAR,P_median_HMXB,P_median_LM-STAR,P_median_LMXB,P_median_NS,P_median_YSO,P_2sig_upp_AGN,P_2sig_upp_CV,P_2sig_upp_HM-STAR,P_2sig_upp_HMXB,P_2sig_upp_LM-STAR,P_2sig_upp_LMXB,P_2sig_upp_NS,P_2sig_upp_YSO,P_2sig_low_AGN,P_2sig_low_CV,P_2sig_low_HM-STAR,P_2sig_low_HMXB,P_2sig_low_LM-STAR,P_2sig_low_LMXB,P_2sig_low_NS,P_2sig_low_YSO,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class_median,Class_prob_median,Class_prob_2sig_upp,Class_prob_2sig_low,Class,Class_prob,Class_prob_e,name,true_Class,conf_flag,CT
0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.07,0.05,0.0,0.14,0.03,0.01,0.20272749999999976,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9222,0.010465,0.005645000000000001,0.00022,0.028675,0.00352,0.0008900000000000001,0.028385,0.1148769198172841,0.01833425536856951,0.013847408628538614,0.0014675672910479268,0.0386712404745418,0.008513640941576174,0.0035384206110100026,0.0535297319926712,AGN,0.97,1.0,0.58,AGN,0.9222,0.1148769198172841,2CXO J000009.3+135618,AGN,1,5.307480377964278
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99918,0.00058,0.0,0.0,0.00017,4e-05,1e-05,2e-05,0.003706931526389632,0.003142208375247172,0.0,0.0,0.0012933571713849101,0.0006315051850925678,0.0003162277660168379,0.0004469897088298563,AGN,1.0,1.0,0.99,AGN,0.99918,0.003706931526389632,2CXO J000230.7+004959,AGN,1,145.79932872467023
0.97,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.01,0.0,0.0,0.03,0.02,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967665,0.02471,0.00025,2e-05,4e-05,0.004860000000000001,0.002375,8e-05,0.02431180451630109,0.020979896473911776,0.0016248508055018897,0.0004469897088298564,0.0006315051850925676,0.007902078387541015,0.005148872292637088,0.0008912880535463237,AGN,0.97,1.0,0.91,AGN,0.967665,0.02431180451630109,2CXO J000622.6-000424,AGN,1,20.819597837664876
0.97,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.0,0.02,0.04,0.01,0.02,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9532849999999999,0.03538,0.00011999999999999999,0.00015,0.00159,0.007,0.000515,0.00196,0.05676668240465731,0.0535903678614686,0.00108939744206914,0.001442074748263619,0.005639477254471704,0.0135493019592739,0.0026204277592869543,0.0066031812031778995,AGN,0.97,1.0,0.77,AGN,0.9532849999999999,0.05676668240465731,2CXO J000659.2-001740,AGN,1,8.317592739081672
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.02,0.0,0.01,0.0,0.03,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98821,0.0010500000000000002,0.0001,0.00412,4e-05,0.00035000000000000005,2e-05,0.00611,0.012093061735645866,0.003131662067865446,0.0009954853042566678,0.006919065939378915,0.000631505185092568,0.001892374455830845,0.0004469897088298563,0.008777524989707807,AGN,0.99,1.0,0.96,AGN,0.98821,0.012093061735645866,2CXO J000703.6+155423,AGN,1,47.05665503916769
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99794,0.0010400000000000001,0.0,0.0,0.00034,0.00049,0.00011,8e-05,0.0061476982842519345,0.003941311194759169,0.0,0.0,0.002022001109912775,0.003204710621908032,0.0011354246734985064,0.000997293635091789,AGN,1.0,1.0,0.98,AGN,0.99794,0.0061476982842519345,2CXO J000856.7+155045,AGN,1,98.81049295016751
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.01,0.01,0.02,0.0,0.05,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98587,0.00359,0.0001,0.00051,0.0007199999999999999,0.0018,0.00016,0.00725,0.02515304704754031,0.008466615828274222,0.0010914170564872028,0.002871958939147314,0.0035908904876777417,0.004856293193741868,0.0012553788177183728,0.01588678349729391,AGN,1.0,1.0,0.92,AGN,0.98587,0.02515304704754031,2CXO J001306.1+000431,AGN,1,23.845615028329625
0.9,0.06,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.33,0.01,0.0,0.02,0.2,0.01,0.03,0.53863625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8548150000000001,0.09391,0.00048,1e-05,0.00264,0.042730000000000004,0.000785,0.00463,0.13705774549656277,0.09624746996921776,0.0023611808857381443,0.00031622776601683794,0.006022181221672646,0.054044128893598324,0.0030029640012482306,0.008338622945824607,AGN,0.9,1.0,0.53863625,AGN,0.8548150000000001,0.13705774549656277,2CXO J001837.3+163446,AGN,1,3.2614144457975223
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.01,0.02,0.02,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912150000000001,0.00048,1e-05,0.0,0.00171,0.00425,0.002075,0.00026000000000000003,0.03995679316862555,0.0030625118740959987,0.0003162277660168378,0.0,0.013020961771138326,0.02656017588313271,0.014799946399004747,0.0019840202459492024,AGN,1.0,1.0,0.94,AGN,0.9912150000000001,0.03995679316862555,2CXO J001854.8+162952,AGN,1,14.837792732738945
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995599999999999,0.0002,0.0,1e-05,0.0,0.00019,0.0,4e-05,0.0022386181924150144,0.0014704292441876155,0.0,0.0003162277660168378,0.0,0.0013659303663678343,0.0,0.000631505185092568,AGN,1.0,1.0,0.99,AGN,0.9995599999999999,0.0022386181924150144,2CXO J002025.2+154054,AGN,1,269.43845207743743
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99981,0.00016,0.0,0.0,0.0,2.9999999999999997e-05,0.0,0.0,0.0014373468495689993,0.0013327325974013596,0.0,0.0,0.0,0.0005471740119919801,0.0,0.0,AGN,1.0,1.0,1.0,AGN,0.99981,0.0014373468495689993,2CXO J002037.9+284231,AGN,1,360.8741262252673
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99617,0.00159,1e-05,5.9999999999999995e-05,4e-05,0.00151,0.0,0.00062,0.007161171858179537,0.004559900513464378,0.000316227766016838,0.0007726558075864028,0.0006315051850925676,0.004151763135962496,0.0,0.0025733678754158392,AGN,1.0,1.0,0.98,AGN,0.99617,0.007161171858179537,2CXO J002140.9+003841,AGN,1,84.85401066255059
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99929,0.0003,0.0,0.0,0.00033,4e-05,2e-05,2e-05,0.003099274996754168,0.0018202508929577024,0.0,0.0,0.0023230360514844574,0.0006315051850925679,0.00044698970882985637,0.0004469897088298563,AGN,1.0,1.0,0.99,AGN,0.99929,0.003099274996754168,2CXO J002209.9+001629,AGN,1,184.23140817871385
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.01,0.02,0.01,0.02,0.01,0.07272749999999974,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97681,0.00733,0.00047999999999999996,0.00307,0.00073,0.00294,0.00034500000000000004,0.008295,0.03568469275890287,0.011211458281454593,0.0027526672841404524,0.007233769931883883,0.0036579339087086426,0.006496044842717648,0.0019260541749090774,0.020648106918536614,AGN,0.99,1.0,0.87,AGN,0.97681,0.03568469275890287,2CXO J002227.4+012412,AGN,1,17.192736834414372
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.02,0.01,0.0,0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99174,0.004065,7.000000000000001e-05,1e-05,0.00246,0.0010249999999999999,8.999999999999999e-05,0.00054,0.016757183629810938,0.011100630567629883,0.0008341437500789632,0.0003162277660168379,0.006884460457856943,0.00414627140531907,0.000944877131056092,0.002472754438781682,AGN,1.0,1.0,0.94,AGN,0.99174,0.016757183629810938,2CXO J002301.4-275238,AGN,1,35.454145576530316
0.95,0.0,0.0,0.01,0.0,0.0,0.0,0.02,1.0,0.032727499999999736,0.03,0.09,0.02,0.03,0.01,0.26,0.5872725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9172,0.0077599999999999995,0.00375,0.01857,0.00147,0.00475,0.00055,0.045950000000000005,0.11468440396371467,0.011211962723274998,0.012246937882078415,0.026618859172843286,0.008438620166254093,0.009951710231740898,0.002721195491857375,0.07068729867659532,AGN,0.95,1.0,0.5872725,AGN,0.9172,0.11468440396371467,2CXO J002733.7-013452,AGN,1,4.700016170701894
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002727499999999736,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99934,0.00035000000000000005,0.0,0.0,0.00019,7.000000000000001e-05,5e-05,0.0,0.004096484002309933,0.0026428175276557555,0.0,0.0,0.0019150894411404298,0.0009465706502929383,0.000705689732104696,0.0,AGN,1.0,1.0,0.99,AGN,0.99934,0.004096484002309933,2CXO J003131.4+003420,AGN,1,148.2334624082455
0.135,0.0,0.0,0.0,0.0,0.14,0.67,0.0,0.46272749999999974,0.07636374999999987,0.02,0.0,0.035,0.6268187499999993,0.92,0.01,0.025,0.0,0.0,0.0,0.0,0.02,0.16,0.0,0.161045,0.010505,0.0023650000000000003,0.0,0.005889999999999999,0.18893833333333332,0.6305366666666666,0.0007199999999999999,0.10771429188835775,0.030435115759123898,0.00926377852674558,0.0,0.01293735967171336,0.15674668399167754,0.20224925511488995,0.004177205890191318,NS,0.67,0.92,0.16,NS,0.6305366666666666,0.20224925511488995,2CXO J003319.1-433711,AGN,0,1.2300928373516933
0.07,0.04,0.01,0.0,0.0,0.31,0.4125,0.0,0.34,0.5363637499999999,0.08,0.0,0.02,0.8200000000000001,0.9013637499999999,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.09464166666666667,0.099445,0.01687,0.0,0.00269,0.3416616666666667,0.4433816666666667,0.00131,0.09213692847381327,0.14122131721321474,0.023578784087799325,0.0,0.010598406777729672,0.2289369719204658,0.236997084496258,0.006084481976382298,NS,0.4125,0.9013637499999999,0.07,NS,0.4433816666666667,0.236997084496258,2CXO J003320.9-433745,AGN,0,0.21831415540276214
